time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-5.722133211261137831e-04,3.846153846154010125e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.992889165878295898e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.765748977661132812e-03,-1.907377737087045944e-04,-5.722133211261137831e-04,-8.004524560683520806e-02,0.000000000000000000e+00,1.907377737087045944e-04,-5.722133211261137831e-04,3.846153846154010125e-02,-5.494505494507251342e-03,2.992889165878295898e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.902933120727539062e-03,1.907377737087045944e-04,-1.907377737087045944e-04,1.784944683662459952e-01,1.784944683662459952e-01,-1.907377737087045944e-04,-5.722133211261137831e-04,-8.004524560683520806e-02,0.000000000000000000e+00,2.992889165878295898e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.057875457875457670e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.903026580810546875e-03,9.536888685435229718e-04,-1.907377737087045944e-04,3.814577218822336468e-01,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,1.784944683662459952e-01,1.784944683662459952e-01,2.992889165878295898e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.726007326007325204e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.090312004089355469e-02,1.335164415960932160e-03,-5.722133211261137831e-04,1.907288609411168234e-01,-1.907288609411168234e-01,9.536888685435229718e-04,-1.907377737087045944e-04,3.814577218822336468e-01,0.000000000000000000e+00,2.992889165878295898e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.259340659340660196e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.290321350097656250e-02,2.098115510795750538e-03,-5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,1.335164415960932160e-03,-5.722133211261137831e-04,1.907288609411168234e-01,-1.907288609411168234e-01,2.996142387390136719e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.558241758241758035e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.490330696105957031e-02,2.861066605630568915e-03,-5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,2.098115510795750538e-03,-5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,2.996142387390136719e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.728205128205127394e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.690340042114257812e-02,4.005493247882796481e-03,-9.536888685435229718e-04,5.721865828233504425e-01,-1.907288609411168234e-01,2.861066605630568915e-03,-5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,2.996142387390136719e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.751648351648352531e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.890349388122558594e-02,5.149919890135024048e-03,-2.098115510795750538e-03,5.721865828233504425e-01,-5.721865828233504425e-01,4.005493247882796481e-03,-9.536888685435229718e-04,5.721865828233504425e-01,-1.907288609411168234e-01,2.996142387390136719e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.775091575091575891e+00,1.377289377289372396e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.090358734130859375e-02,6.675822079804660802e-03,-4.386968795300205670e-03,7.629154437644672937e-01,-1.144373165646700885e+00,5.149919890135024048e-03,-2.098115510795750538e-03,5.721865828233504425e-01,-5.721865828233504425e-01,2.996142387390136719e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.956776556776556930e+00,2.021978021978014795e-01,0.000000000000000000e+00,0.000000000000000000e+00
