time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,3.846153846154010125e-02,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.975905895233154297e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.320714950561523438e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,-6.035322750688502935e-02,1.907377737087045944e-04,1.907377737087045944e-04,3.846153846154010125e-02,5.494505494507251342e-03,0.000000000000000000e+00,2.975905895233154297e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.320808410644531250e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,1.907288609411168234e-01,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,-6.035322750688502935e-02,0.000000000000000000e+00,2.975905895233154297e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,6.534798534798529346e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.032090187072753906e-02,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.907288609411168234e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,1.907288609411168234e-01,0.000000000000000000e+00,2.975905895233154297e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,1.485714285714285765e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.232099533081054688e-02,1.907377737087045944e-04,1.716639963378341349e-03,0.000000000000000000e+00,5.721865828233504425e-01,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.907288609411168234e-01,0.000000000000000000e+00,2.975905895233154297e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.930402930402919992e-03,2.042490842490842340e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.432108879089355469e-02,5.722133211261137831e-04,2.861066605630568915e-03,1.907288609411168234e-01,5.721865828233504425e-01,1.907377737087045944e-04,1.716639963378341349e-03,0.000000000000000000e+00,5.721865828233504425e-01,0.000000000000000000e+00,2.972564220428466797e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.637362637362627993e-02,2.329670329670330275e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.632142066955566406e-02,1.335164415960932160e-03,4.768444342717614859e-03,3.814122561227721309e-01,9.535306403069302439e-01,5.722133211261137831e-04,2.861066605630568915e-03,1.907288609411168234e-01,5.721865828233504425e-01,0.000000000000000000e+00,2.972564220428466797e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.981684981684963986e-02,2.476190476190476275e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.832151412963867188e-02,2.098115510795750538e-03,6.675822079804660802e-03,3.814577218822336468e-01,9.536443047055841449e-01,1.335164415960932160e-03,4.768444342717614859e-03,3.814122561227721309e-01,9.535306403069302439e-01,0.000000000000000000e+00,2.972564220428466797e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.567765567765547985e-02,2.587545787545787235e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.032160758972167969e-02,3.242542153047978104e-03,9.727626459143934312e-03,5.721865828233504425e-01,1.525830887528934587e+00,2.098115510795750538e-03,6.675822079804660802e-03,3.814577218822336468e-01,9.536443047055841449e-01,0.000000000000000000e+00,2.972564220428466797e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.326007326007299980e-02,2.628571428571428115e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.232170104980468750e-02,5.149919890135024048e-03,1.239795529106579863e-02,9.536443047055841449e-01,1.335102026587817736e+00,3.242542153047978104e-03,9.727626459143934312e-03,5.721865828233504425e-01,1.525830887528934587e+00,0.000000000000000000e+00,2.972564220428466797e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.326007326007299980e-02,2.693040293040292354e+00,0.000000000000000000e+00,0.000000000000000000e+00
