time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,7.142857142857295116e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.826837301254272461e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.863832473754882812e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,7.142857142857295116e-02,-5.494505494507251342e-03,0.000000000000000000e+00,2.826837301254272461e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.863925933837890625e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,1.907288609411168234e-01,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.826837301254272461e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,1.040293040293040150e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.086401939392089844e-02,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.907288609411168234e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,1.907288609411168234e-01,0.000000000000000000e+00,2.826837301254272461e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,1.468131868131868245e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.286435127258300781e-02,-1.907377737087045944e-04,1.335164415960932160e-03,-1.907061280613860654e-01,3.814122561227721309e-01,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.907288609411168234e-01,0.000000000000000000e+00,2.826837301254272461e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,1.936996336996337220e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.486444473266601562e-02,-1.907377737087045944e-04,2.861066605630568915e-03,0.000000000000000000e+00,7.629154437644672937e-01,-1.907377737087045944e-04,1.335164415960932160e-03,-1.907061280613860654e-01,3.814122561227721309e-01,0.000000000000000000e+00,2.659375905990600586e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.130402930402929940e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.686453819274902344e-02,-1.907377737087045944e-04,5.531395437552433236e-03,0.000000000000000000e+00,1.335102026587817736e+00,-1.907377737087045944e-04,2.861066605630568915e-03,0.000000000000000000e+00,7.629154437644672937e-01,0.000000000000000000e+00,2.659375905990600586e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.323809523809524435e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.886463165283203125e-02,-1.907377737087045944e-04,7.820248722056888369e-03,0.000000000000000000e+00,1.144373165646700885e+00,-1.907377737087045944e-04,5.531395437552433236e-03,0.000000000000000000e+00,1.335102026587817736e+00,0.000000000000000000e+00,2.659375905990600586e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.323809523809524435e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.086472511291503906e-02,-5.722133211261137831e-04,1.087205310139616188e-02,-1.907288609411168234e-01,1.525830887528934587e+00,-1.907377737087045944e-04,7.820248722056888369e-03,0.000000000000000000e+00,1.144373165646700885e+00,0.000000000000000000e+00,2.659375905990600586e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.326007326007299980e-02,2.306227106227106916e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.286481857299804688e-02,-2.098115510795750538e-03,1.468680857557025377e-02,-7.629154437644672937e-01,1.907288609411168290e+00,-5.722133211261137831e-04,1.087205310139616188e-02,-1.907288609411168234e-01,1.525830887528934587e+00,0.000000000000000000e+00,2.659375905990600586e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.494505494505489196e-01,2.370695970695971155e+00,0.000000000000000000e+00,0.000000000000000000e+00
