time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,7.142857142857295116e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.826837301254272461e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.918741226196289062e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,7.142857142857295116e-02,-5.494505494507251342e-03,0.000000000000000000e+00,2.826837301254272461e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.918834686279296875e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.826837301254272461e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,6.358974358974354146e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.918928146362304688e-03,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,3.814577218822336468e-01,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.999769180166495630e+00,0.000000000000000000e+00,1.729318789122232802e-01,8.791208791208759976e-03,1.391941391941392325e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.191902160644531250e-02,1.907377737087045944e-04,9.536888685435229718e-04,0.000000000000000000e+00,1.907288609411168234e-01,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,3.814577218822336468e-01,0.000000000000000000e+00,3.003373458164747767e+00,0.000000000000000000e+00,1.765361569104754724e-01,8.791208791208759976e-03,1.913553113553113860e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.391911506652832031e-02,-1.907377737087045944e-04,2.479591058213159727e-03,-1.907288609411168234e-01,7.629154437644672937e-01,1.907377737087045944e-04,9.536888685435229718e-04,0.000000000000000000e+00,1.907288609411168234e-01,-2.103442828704852330e-01,2.832069232572134609e+00,-2.103442828704852330e-01,1.835566307197176450e-01,8.791208791208759976e-03,2.212454212454211699e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.591920852661132812e-02,-1.907377737087045944e-04,4.768444342717614859e-03,0.000000000000000000e+00,1.144373165646700885e+00,-1.907377737087045944e-04,2.479591058213159727e-03,-1.907288609411168234e-01,7.629154437644672937e-01,-2.006918061931561581e-01,2.834527495152862731e+00,-2.006918061931561581e-01,1.860148933004458216e-01,1.465201465201459996e-02,2.446886446886447075e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.791930198669433594e-02,-1.907377737087045944e-04,6.675822079804660802e-03,0.000000000000000000e+00,9.536443047055841449e-01,-1.907377737087045944e-04,4.768444342717614859e-03,0.000000000000000000e+00,1.144373165646700885e+00,-1.891492999979825229e-01,2.835233003220828607e+00,-1.891492999979825229e-01,1.867204013684114206e-01,1.465201465201459996e-02,2.476190476190476275e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.991963386535644531e-02,-5.722133211261137831e-04,1.010910200656134350e-02,-1.907061280613860654e-01,1.716355152552474506e+00,-1.907377737087045944e-04,6.675822079804660802e-03,0.000000000000000000e+00,9.536443047055841449e-01,-2.239150476498299736e-01,2.836192625459991845e+00,-2.239150476498299736e-01,1.876800236075747697e-01,3.809523809523795990e-02,2.476190476190476275e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.191972732543945312e-02,-1.716639963378341349e-03,1.354238193331802620e-02,-5.721865828233504425e-01,1.716559748470051439e+00,-5.722133211261137831e-04,1.010910200656134350e-02,-1.907061280613860654e-01,1.716355152552474506e+00,-2.415366354353181977e-01,2.836700112346483671e+00,-2.415366354353181977e-01,1.881875104940667065e-01,1.318681318681313996e-01,2.540659340659340515e+00,0.000000000000000000e+00,0.000000000000000000e+00
