time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-2.747252747252915128e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.458621025085449219e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.956649780273437500e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-2.747252747252915128e-02,-5.494505494507251342e-03,0.000000000000000000e+00,-2.458621025085449219e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.956743240356445312e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.458621025085449219e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-4.483516483516485351e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.956836700439453125e-03,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-1.907288609411168234e-01,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.616388773681360025e+00,0.000000000000000000e+00,-1.577677485959109727e-01,2.930402930402919992e-03,-1.157509157509156950e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.195693016052246094e-02,1.907377737087045944e-04,-1.335164415960932160e-03,0.000000000000000000e+00,-3.814577218822336468e-01,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-1.907288609411168234e-01,0.000000000000000000e+00,-2.636020952626562330e+00,0.000000000000000000e+00,-1.773999275411131671e-01,2.930402930402919992e-03,-1.626373626373625925e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.395702362060546875e-02,5.722133211261137831e-04,-2.098115510795750538e-03,1.907288609411168234e-01,-3.814577218822336468e-01,1.907377737087045944e-04,-1.335164415960932160e-03,0.000000000000000000e+00,-3.814577218822336468e-01,2.103442828704852330e-01,-2.600236984888344427e+00,2.103442828704852330e-01,-1.812473265326316196e-01,-8.791208791208759976e-03,-1.972161172161172260e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.595711708068847656e-02,9.536888685435229718e-04,-4.005493247882796481e-03,1.907288609411168234e-01,-9.536443047055841449e-01,5.722133211261137831e-04,-2.098115510795750538e-03,1.907288609411168234e-01,-3.814577218822336468e-01,2.282563432131401449e-01,-2.604057953278952731e+00,2.282563432131401449e-01,-1.850682949232400620e-01,-2.637362637362627993e-02,-2.177289377289376660e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.795721054077148438e-02,1.716639963378341349e-03,-5.531395437552433236e-03,3.814577218822336468e-01,-7.629154437644672937e-01,9.536888685435229718e-04,-4.005493247882796481e-03,1.907288609411168234e-01,-9.536443047055841449e-01,2.392890278586481401e-01,-2.604958188807665831e+00,2.392890278586481401e-01,-1.859685304519528293e-01,-4.395604395604379988e-02,-2.288644688644689396e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.995730400085449219e-02,2.479591058213159727e-03,-7.820248722056888369e-03,3.814577218822336468e-01,-1.144373165646700885e+00,1.716639963378341349e-03,-5.531395437552433236e-03,3.814577218822336468e-01,-7.629154437644672937e-01,2.426909438738119318e-01,-2.605882285785163344e+00,2.426909438738119318e-01,-1.868926274294503698e-01,-6.739926739926715982e-02,-2.300366300366301076e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.195739746093750000e-02,4.005493247882796481e-03,-1.087205310139616188e-02,7.629154437644672937e-01,-1.525830887528934587e+00,2.479591058213159727e-03,-7.820248722056888369e-03,3.814577218822336468e-01,-1.144373165646700885e+00,2.462506532977314921e-01,-2.606634748830639836e+00,2.462506532977314921e-01,-1.876450904749271120e-01,-6.153846153846131983e-02,-2.312087912087912756e+00,0.000000000000000000e+00,0.000000000000000000e+00
