time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.939557552337646484e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.889104843139648438e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,0.000000000000000000e+00,-2.939557552337646484e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.889198303222656250e-03,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-1.907288609411168234e-01,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.939557552337646484e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-1.139926739926739430e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.088929176330566406e-02,1.907377737087045944e-04,-9.536888685435229718e-04,0.000000000000000000e+00,-1.907288609411168234e-01,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-1.907288609411168234e-01,0.000000000000000000e+00,-2.939557552337646484e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-1.550183150183150005e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.288938522338867188e-02,1.907377737087045944e-04,-1.716639963378341349e-03,0.000000000000000000e+00,-3.814577218822336468e-01,1.907377737087045944e-04,-9.536888685435229718e-04,0.000000000000000000e+00,-1.907288609411168234e-01,0.000000000000000000e+00,-2.939557552337646484e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.930402930402919992e-03,-2.077655677655677380e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.488947868347167969e-02,5.722133211261137831e-04,-3.242542153047978104e-03,1.907288609411168234e-01,-7.629154437644672937e-01,1.907377737087045944e-04,-1.716639963378341349e-03,0.000000000000000000e+00,-3.814577218822336468e-01,0.000000000000000000e+00,-2.936026573181152344e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.465201465201459996e-02,-2.323809523809524435e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.688957214355468750e-02,9.536888685435229718e-04,-5.531395437552433236e-03,1.907288609411168234e-01,-1.144373165646700885e+00,5.722133211261137831e-04,-3.242542153047978104e-03,1.907288609411168234e-01,-7.629154437644672937e-01,0.000000000000000000e+00,-2.936026573181152344e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.223443223443211991e-02,-2.505494505494505475e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.888990402221679688e-02,1.716639963378341349e-03,-7.820248722056888369e-03,3.814122561227721309e-01,-1.144236768368316337e+00,9.536888685435229718e-04,-5.531395437552433236e-03,1.907288609411168234e-01,-1.144373165646700885e+00,0.000000000000000000e+00,-2.936026573181152344e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.567765567765547985e-02,-2.540659340659340515e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.088999748229980469e-02,3.242542153047978104e-03,-1.087205310139616188e-02,7.629154437644672937e-01,-1.525830887528934587e+00,1.716639963378341349e-03,-7.820248722056888369e-03,3.814122561227721309e-01,-1.144236768368316337e+00,0.000000000000000000e+00,-2.936026573181152344e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.912087912087883979e-02,-2.552380952380952195e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.289009094238281250e-02,5.149919890135024048e-03,-1.430533302815284458e-02,9.536443047055841449e-01,-1.716559748470051439e+00,3.242542153047978104e-03,-1.087205310139616188e-02,7.629154437644672937e-01,-1.525830887528934587e+00,0.000000000000000000e+00,-2.936026573181152344e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.912087912087883979e-02,-2.646153846153845635e+00,0.000000000000000000e+00,0.000000000000000000e+00
