time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-6.043956043956200119e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.939557552337646484e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.881071090698242188e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-6.043956043956200119e-02,-5.494505494507251342e-03,0.000000000000000000e+00,-2.939557552337646484e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.881164550781250000e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.939557552337646484e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-6.124542124542120547e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.881258010864257812e-03,1.907377737087045944e-04,-9.536888685435229718e-04,0.000000000000000000e+00,-3.814577218822336468e-01,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.112489431249869654e+00,0.000000000000000000e+00,-1.729318789122232802e-01,2.930402930402919992e-03,-1.462271062271062405e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.188135147094726562e-02,1.907377737087045944e-04,-1.335164415960932160e-03,0.000000000000000000e+00,-1.907288609411168234e-01,1.907377737087045944e-04,-9.536888685435229718e-04,0.000000000000000000e+00,-3.814577218822336468e-01,0.000000000000000000e+00,-3.116093709248121790e+00,0.000000000000000000e+00,-1.765361569104754724e-01,-2.930402930402919992e-03,-1.995604395604395620e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.388144493103027344e-02,5.722133211261137831e-04,-2.861066605630568915e-03,1.907288609411168234e-01,-7.629154437644672937e-01,1.907377737087045944e-04,-1.335164415960932160e-03,0.000000000000000000e+00,-1.907288609411168234e-01,2.103442828704852330e-01,-3.119838073361929531e+00,2.103442828704852330e-01,-1.835566307197176450e-01,-2.051282051282043994e-02,-2.300366300366301076e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.588153839111328125e-02,1.335164415960932160e-03,-5.149919890135024048e-03,3.814577218822336468e-01,-1.144373165646700885e+00,5.722133211261137831e-04,-2.861066605630568915e-03,1.907288609411168234e-01,-7.629154437644672937e-01,2.364976340007752253e-01,-3.122296335942657652e+00,2.364976340007752253e-01,-1.860148933004458216e-01,-3.809523809523795990e-02,-2.523076923076922995e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.788163185119628906e-02,2.098115510795750538e-03,-7.057297627222069991e-03,3.814577218822336468e-01,-9.536443047055841449e-01,1.335164415960932160e-03,-5.149919890135024048e-03,3.814577218822336468e-01,-1.144373165646700885e+00,2.416091893521494782e-01,-3.123001844010623529e+00,2.416091893521494782e-01,-1.867204013684114206e-01,-5.567765567765547985e-02,-2.610989010989010595e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.988172531127929688e-02,3.242542153047978104e-03,-1.010910200656134350e-02,5.721865828233504425e-01,-1.525830887528934587e+00,2.098115510795750538e-03,-7.057297627222069991e-03,3.814577218822336468e-01,-9.536443047055841449e-01,2.450129067625353707e-01,-3.123840275235161723e+00,2.450129067625353707e-01,-1.875588325929498090e-01,-7.326007326007299980e-02,-2.628571428571428115e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.188181877136230469e-02,5.149919890135024048e-03,-1.354238193331802620e-02,9.536443047055841449e-01,-1.716559748470051439e+00,3.242542153047978104e-03,-1.010910200656134350e-02,5.721865828233504425e-01,-1.525830887528934587e+00,2.475668094228475336e-01,-3.124396792022948510e+00,2.475668094228475336e-01,-1.881153493807363741e-01,-6.739926739926715982e-02,-2.693040293040292354e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.388191223144531250e-02,7.057297627222069991e-03,-1.735713740749211809e-02,9.536443047055841449e-01,-1.907288609411168290e+00,5.149919890135024048e-03,-1.354238193331802620e-02,9.536443047055841449e-01,-1.716559748470051439e+00,2.486231120417369822e-01,-3.105323973212169797e+00,2.486231120417369822e-01,-1.885418324803581624e-01,-4.981684981684963986e-02,-2.704761904761904034e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.588200569152832031e-02,9.727626459143934312e-03,-2.269779507133584673e-02,1.335102026587817736e+00,-2.670204053175635472e+00,7.057297627222069991e-03,-1.735713740749211809e-02,9.536443047055841449e-01,-1.907288609411168290e+00,2.495935372740213654e-01,-3.105867108440113711e+00,2.495935372740213654e-01,-1.890849677083021596e-01,-4.981684981684963986e-02,-2.739926739926739074e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.788209915161132812e-02,1.201647974364838944e-02,-2.727550164034475699e-02,1.144373165646700885e+00,-2.288746331293401770e+00,9.727626459143934312e-03,-2.269779507133584673e-02,1.335102026587817736e+00,-2.670204053175635472e+00,2.499901049106446616e-01,-3.106129209357754828e+00,2.499901049106446616e-01,-1.893470686259434155e-01,-5.567765567765547985e-02,-2.710622710622709874e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.988219261169433594e-02,1.468680857557025377e-02,-3.261615930418848563e-02,1.335102026587817736e+00,-2.670204053175635472e+00,1.201647974364838944e-02,-2.727550164034475699e-02,1.144373165646700885e+00,-2.288746331293401770e+00,2.503791237808861703e-01,-3.106431355630765001e+00,2.503791237808861703e-01,-1.896492148989536719e-01,-4.981684981684963986e-02,-2.734065934065933234e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.188228607177734375e-02,1.773861295490952728e-02,-3.910124361028444184e-02,1.525830887528934587e+00,-3.242390635998985804e+00,1.468680857557025377e-02,-3.261615930418848563e-02,1.335102026587817736e+00,-2.670204053175635472e+00,2.507443368315275811e-01,-3.106806739205588919e+00,2.507443368315275811e-01,-1.900245984737776173e-01,-3.809523809523795990e-02,-2.745787545787544914e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.388237953186035156e-02,2.079041733424880078e-02,-4.558632791638039805e-02,1.525830887528934587e+00,-3.242390635998985804e+00,1.773861295490952728e-02,-3.910124361028444184e-02,1.525830887528934587e+00,-3.242390635998985804e+00,2.509968794210427623e-01,-3.069960584928668190e+00,2.509968794210427623e-01,-1.903090384503969001e-01,-3.809523809523795990e-02,-2.716483516483515714e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.588247299194335938e-02,2.460517280842289267e-02,-5.397878995956340020e-02,1.907288609411168290e+00,-4.196034940704570282e+00,2.079041733424880078e-02,-4.558632791638039805e-02,1.525830887528934587e+00,-3.242390635998985804e+00,2.513371185722568235e-01,-3.070405251543441238e+00,2.513371185722568235e-01,-1.907537050651696708e-01,-1.201465201465197197e-01,-2.663736263736263155e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.788256645202636719e-02,2.727550164034475699e-02,-6.084534981307676560e-02,1.335102026587817736e+00,-3.433119496940102877e+00,2.460517280842289267e-02,-5.397878995956340020e-02,1.907288609411168290e+00,-4.196034940704570282e+00,2.513630226762623154e-01,-3.070574220636935525e+00,2.513630226762623154e-01,-1.909226741586642073e-01,-5.421245421245419749e-01,-2.710622710622709874e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.988265991210937500e-02,3.070878156710143969e-02,-6.847486076142494937e-02,1.716559748470051439e+00,-3.814577218822336580e+00,2.727550164034475699e-02,-6.084534981307676560e-02,1.335102026587817736e+00,-3.433119496940102877e+00,2.515287623429734443e-01,-3.070794219817015946e+00,2.515287623429734443e-01,-1.911426733387442678e-01,-5.304029304029302949e-01,-2.763369963369964211e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.188275337219238281e-02,3.490501258869294077e-02,-7.724879835202536071e-02,2.098017470352285141e+00,-4.386763801645686911e+00,3.070878156710143969e-02,-6.847486076142494937e-02,1.716559748470051439e+00,-3.814577218822336580e+00,2.517867690906097078e-01,-3.071095304001318915e+00,2.517867690906097078e-01,-1.914437575230472366e-01,-4.952380952380952550e-01,-2.769230769230770051e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.388284683227539062e-02,3.948271915770185103e-02,-8.640421149004318124e-02,2.288746331293401770e+00,-4.577492662586803540e+00,3.490501258869294077e-02,-7.724879835202536071e-02,2.098017470352285141e+00,-4.386763801645686911e+00,2.520392770109282643e-01,-3.040209314421062459e+00,2.520392770109282643e-01,-1.917228909286308181e-01,-4.483516483516485351e-01,-2.804395604395605091e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.588294029235839844e-02,4.558632791638039805e-02,-9.746700236514804772e-02,3.051661775057869175e+00,-5.531136967292387574e+00,3.948271915770185103e-02,-8.640421149004318124e-02,2.288746331293401770e+00,-4.577492662586803540e+00,2.524516474135349298e-01,-3.040636207979052319e+00,2.524516474135349298e-01,-1.921497844866204840e-01,-3.311355311355317355e-01,-2.798534798534799251e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.788303375244140625e-02,4.940108339055448994e-02,-1.058594644083310499e-01,1.907288609411168290e+00,-4.196034940704570282e+00,4.558632791638039805e-02,-9.746700236514804772e-02,3.051661775057869175e+00,-5.531136967292387574e+00,2.524405363473817276e-01,-3.040687537492680281e+00,2.524405363473817276e-01,-1.922011140002488072e-01,-2.549450549450558157e-01,-2.734065934065933234e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.988312721252441406e-02,5.474174105439821858e-02,-1.161593041886010980e-01,2.670204053175635472e+00,-5.149679245410154316e+00,4.940108339055448994e-02,-1.058594644083310499e-01,1.907288609411168290e+00,-4.196034940704570282e+00,2.526448121388915613e-01,-3.040932637507751668e+00,2.526448121388915613e-01,-1.924462140153199996e-01,-1.963369963369956395e-01,-2.769230769230770051e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.188322067260742188e-02,5.970092317082453803e-02,-1.268406195162885552e-01,2.479475192234518843e+00,-5.340408106351270945e+00,5.474174105439821858e-02,-1.161593041886010980e-01,2.670204053175635472e+00,-5.149679245410154316e+00,2.527517326279760113e-01,-3.041167980543154847e+00,2.527517326279760113e-01,-1.926815570507230402e-01,-1.670329670329664395e-01,-2.734065934065933234e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.388331413269042969e-02,6.542305638208567586e-02,-1.386663614862282401e-01,2.860932914116752546e+00,-5.912594689174621720e+00,5.970092317082453803e-02,-1.268406195162885552e-01,2.479475192234518843e+00,-5.340408106351270945e+00,2.529359306363167526e-01,-3.032410818127978747e+00,2.529359306363167526e-01,-1.929895458501467431e-01,-1.611721611721605996e-01,-2.757509157509158371e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.588340759277343750e-02,7.190814068818163207e-02,-1.523994811932549709e-01,3.242390635998985804e+00,-6.866238993880205754e+00,6.542305638208567586e-02,-1.386663614862282401e-01,2.860932914116752546e+00,-5.912594689174621720e+00,2.531761510920593761e-01,-3.032855432732968648e+00,2.531761510920593761e-01,-1.934341604551366167e-01,-1.260073260073255597e-01,-2.716483516483515714e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.788350105285644531e-02,7.648584725719054234e-02,-1.630807965209424282e-01,2.288746331293401770e+00,-5.340408106351270945e+00,7.190814068818163207e-02,-1.523994811932549709e-01,3.242390635998985804e+00,-6.866238993880205754e+00,2.531250887335969590e-01,-3.032890892258914839e+00,2.531250887335969590e-01,-1.934696199810830020e-01,-1.025641025641021997e-01,-2.646153846153845635e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.988359451293945312e-02,8.258945601586908936e-02,-1.752880140382995222e-01,3.051661775057869175e+00,-6.103323550115738350e+00,7.648584725719054234e-02,-1.630807965209424282e-01,2.288746331293401770e+00,-5.340408106351270945e+00,2.532758361335654129e-01,-3.033078328657009326e+00,2.532758361335654129e-01,-1.936570563791774613e-01,-1.260073260073255597e-01,-2.757509157509158371e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.188368797302246094e-02,8.869306477454763638e-02,-1.886396581979088438e-01,3.051661775057869175e+00,-6.675510132939089125e+00,8.258945601586908936e-02,-1.752880140382995222e-01,3.051661775057869175e+00,-6.103323550115738350e+00,2.533944523326420173e-01,-3.033346757130936489e+00,2.533944523326420173e-01,-1.939254848531045405e-01,-1.553113553113547596e-01,-2.739926739926739074e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.388378143310546875e-02,9.517814908064359258e-02,-2.023727779049355746e-01,3.242390635998985804e+00,-6.866238993880205754e+00,8.869306477454763638e-02,-1.886396581979088438e-01,3.051661775057869175e+00,-6.675510132939089125e+00,2.535343534773771834e-01,-3.028007980361942408e+00,2.535343534773771834e-01,-1.941790542755165438e-01,-1.494505494505489196e-01,-2.687179487179486514e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.588387489318847656e-02,1.028076600289917764e-01,-2.199206530861363973e-01,3.814577218822336580e+00,-8.773527603291373822e+00,9.517814908064359258e-02,-2.023727779049355746e-01,3.242390635998985804e+00,-6.866238993880205754e+00,2.537805972885984751e-01,-3.028603421720332367e+00,2.537805972885984751e-01,-1.947744956339066136e-01,-1.318681318681313996e-01,-2.704761904761904034e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.788396835327148438e-02,1.085297932402529142e-01,-2.317463950560760821e-01,2.860932914116752546e+00,-5.912594689174621720e+00,1.028076600289917764e-01,-2.199206530861363973e-01,3.814577218822336580e+00,-8.773527603291373822e+00,2.537504602878394855e-01,-3.028489802950122378e+00,2.537504602878394855e-01,-1.946608768636964026e-01,-1.377289377289372396e-01,-2.734065934065933234e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.988406181335449219e-02,1.161593041886010980e-01,-2.466239414053550405e-01,3.814577218822336580e+00,-7.438425576703556530e+00,1.085297932402529142e-01,-2.317463950560760821e-01,2.860932914116752546e+00,-5.912594689174621720e+00,2.539501191005199554e-01,-3.028712886421371930e+00,2.539501191005199554e-01,-1.948839603349462324e-01,-1.494505494505489196e-01,-2.769230769230770051e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.188415527343750000e-02,1.237888151369492817e-01,-2.615014877546357752e-01,3.814577218822336580e+00,-7.438425576704443820e+00,1.161593041886010980e-01,-2.466239414053550405e-01,3.814577218822336580e+00,-7.438425576703556530e+00,2.541076446932081234e-01,-3.028891064646701548e+00,2.541076446932081234e-01,-1.950621385602758773e-01,-1.201465201465197197e-01,-2.757509157509158371e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.388424873352050781e-02,1.310368505378800563e-01,-2.775234607461669611e-01,3.623848357881219506e+00,-8.010612159526907305e+00,1.237888151369492817e-01,-2.615014877546357752e-01,3.814577218822336580e+00,-7.438425576704443820e+00,2.541888759154721233e-01,-3.035263539003506317e+00,2.541888759154721233e-01,-1.953217989674955468e-01,-1.260073260073255597e-01,-2.810256410256410931e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.588434219360351562e-02,1.401922636758978769e-01,-2.954528114747851930e-01,4.577492662586803540e+00,-8.964256464232491339e+00,1.310368505378800563e-01,-2.775234607461669611e-01,3.623848357881219506e+00,-8.010612159526907305e+00,2.544693153147155051e-01,-3.035665970857621687e+00,2.544693153147155051e-01,-1.957242308216110283e-01,-1.435897435897430796e-01,-2.827838827838828450e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.788443565368652344e-02,1.466773479819938331e-01,-3.095674067292293330e-01,3.242390635998985804e+00,-7.056967854821322383e+00,1.401922636758978769e-01,-2.954528114747851930e-01,4.577492662586803540e+00,-8.964256464232491339e+00,2.543914668839493687e-01,-3.035597677277714013e+00,2.543914668839493687e-01,-1.956559372417031872e-01,-1.201465201465197197e-01,-2.827838827838828450e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.988452911376953125e-02,1.543068589303420168e-01,-3.263523308155953373e-01,3.814577218822336580e+00,-8.392069881409140564e+00,1.466773479819938331e-01,-3.095674067292293330e-01,3.242390635998985804e+00,-7.056967854821322383e+00,2.544581493422520269e-01,-3.035815889784795552e+00,2.544581493422520269e-01,-1.958741497487846150e-01,-6.739926739926715982e-02,-2.898168498168498530e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.188462257385253906e-02,1.623178454261076098e-01,-3.431372549019613416e-01,4.005306079763453653e+00,-8.392069881409140564e+00,1.543068589303420168e-01,-3.263523308155953373e-01,3.814577218822336580e+00,-8.392069881409140564e+00,2.545540599665923054e-01,-3.035990274590430804e+00,2.545540599665923054e-01,-1.960485345544199787e-01,-6.739926739926715982e-02,-2.956776556776556930e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.388471603393554688e-02,1.703288319218732028e-01,-3.606851300831621643e-01,4.005306079763453653e+00,-8.773527603291373822e+00,1.623178454261076098e-01,-3.431372549019613416e-01,4.005306079763453653e+00,-8.392069881409140564e+00,2.546304443223861291e-01,-3.043991087774357229e+00,2.546304443223861291e-01,-1.962656963864178039e-01,-6.739926739926715982e-02,-2.880586080586081010e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.588480949401855469e-02,1.802471961547258417e-01,-3.812848096437022605e-01,4.958950384469037687e+00,-1.029935849082030863e+01,1.703288319218732028e-01,-3.606851300831621643e-01,4.005306079763453653e+00,-8.773527603291373822e+00,2.549023362194825504e-01,-3.044475214044812805e+00,2.549023362194825504e-01,-1.967498226568731856e-01,-1.084249084249080397e-01,-2.927472527472527730e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.788490295410156250e-02,1.874952315556566163e-01,-3.961623559929812188e-01,3.623848357881219506e+00,-7.438425576703556530e+00,1.802471961547258417e-01,-3.812848096437022605e-01,4.958950384469037687e+00,-1.029935849082030863e+01,2.548243851443268704e-01,-3.044280125940741044e+00,2.548243851443268704e-01,-1.965547345528014245e-01,-1.435897435897430796e-01,-2.909890109890110210e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.988499641418457031e-02,1.962691691462570276e-01,-4.137102311741820415e-01,4.386763801645686911e+00,-8.773527603291373822e+00,1.874952315556566163e-01,-3.961623559929812188e-01,3.623848357881219506e+00,-7.438425576703556530e+00,2.549302574276360867e-01,-3.044395744857986141e+00,2.549302574276360867e-01,-1.966703534700466049e-01,-1.377289377289372396e-01,-2.886446886446886850e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.188508987426757812e-02,2.054245822842748481e-01,-4.327840085450525009e-01,4.577492662586803540e+00,-9.536443047055840339e+00,1.962691691462570276e-01,-4.137102311741820415e-01,4.386763801645686911e+00,-8.773527603291373822e+00,2.550564013325390955e-01,-3.044643326905830172e+00,2.550564013325390955e-01,-1.969179355178905522e-01,-9.084249084249051975e-02,-2.927472527472527730e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.388518333435058594e-02,2.145799954222926686e-01,-4.514763103685055512e-01,4.577492662586803540e+00,-9.345714186114724598e+00,2.054245822842748481e-01,-4.327840085450525009e-01,4.577492662586803540e+00,-9.536443047055840339e+00,2.551568774055322231e-01,-3.058109577636480836e+00,2.551568774055322231e-01,-1.970770916745666346e-01,-5.567765567765547985e-02,-2.833699633699634290e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.588527679443359375e-02,2.248798352025627167e-01,-4.739833676661326933e-01,5.149679245410154316e+00,-1.125300279552589267e+01,2.145799954222926686e-01,-4.514763103685055512e-01,4.577492662586803540e+00,-9.345714186114724598e+00,2.553611539612558601e-01,-3.058623905846713065e+00,2.553611539612558601e-01,-1.975914198847988912e-01,-2.637362637362627993e-02,-2.909890109890110210e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.788537025451660156e-02,2.321278706034934913e-01,-4.888609140154116517e-01,3.623848357881219506e+00,-7.438425576703556530e+00,2.248798352025627167e-01,-4.739833676661326933e-01,5.149679245410154316e+00,-1.125300279552589267e+01,2.551931381990557024e-01,-3.058261161944594964e+00,2.551931381990557024e-01,-1.972286759826807623e-01,-4.395604395604379988e-02,-2.898168498168498530e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.988546371459960938e-02,2.409018081940939027e-01,-5.090791180285343387e-01,4.386763801645686911e+00,-1.010862962987919111e+01,2.321278706034934913e-01,-4.888609140154116517e-01,3.623848357881219506e+00,-7.438425576703556530e+00,2.552244658952005918e-01,-3.058512883776881353e+00,2.552244658952005918e-01,-1.974803978149670680e-01,-7.912087912087883979e-02,-2.757509157509158371e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.018855571746826172e-01,2.500572213321134996e-01,-5.289158464942396165e-01,4.577492662587691719e+00,-9.917900768938075373e+00,2.409018081940939027e-01,-5.090791180285343387e-01,4.386763801645686911e+00,-1.010862962987919111e+01,2.552909292558865895e-01,-3.058675444574832092e+00,2.552909292558865895e-01,-1.976429586129182236e-01,-7.912087912087883979e-02,-2.827838827838828450e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.038856506347656250e-01,2.599755855649661385e-01,-5.483710994125274851e-01,4.958950384469037687e+00,-9.727171907996957856e+00,2.500572213321134996e-01,-5.289158464942396165e-01,4.577492662587691719e+00,-9.917900768938075373e+00,2.554265341000399037e-01,-3.057924200758563416e+00,2.554265341000399037e-01,-1.977342860551942194e-01,-7.912087912087883979e-02,-2.974358974358974450e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.058857440948486328e-01,2.714198519874884141e-01,-5.716411078049894456e-01,5.721865828233505091e+00,-1.163446051740812592e+01,2.599755855649661385e-01,-5.483710994125274851e-01,4.958950384469037687e+00,-9.727171907996957856e+00,2.556985600317643881e-01,-3.058383641643692918e+00,2.556985600317643881e-01,-1.981937269403236390e-01,-6.739926739926715982e-02,-2.886446886446886850e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.078858375549316406e-01,2.790493629358365979e-01,-5.880445563439380408e-01,3.814577218822336580e+00,-8.201341020468023046e+00,2.714198519874884141e-01,-5.716411078049894456e-01,5.721865828233505091e+00,-1.163446051740812592e+01,2.555058824671505580e-01,-3.058055670811867355e+00,2.555058824671505580e-01,-1.978657561084980476e-01,-5.567765567765547985e-02,-2.939194139194139410e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.098861694335937500e-01,2.885862516212718276e-01,-6.086442359044781369e-01,4.767653201534651330e+00,-1.029813091531484659e+01,2.790493629358365979e-01,-5.880445563439380408e-01,3.814577218822336580e+00,-8.201341020468023046e+00,2.555567444522508502e-01,-3.058218083048233282e+00,2.555567444522508502e-01,-1.980281683448640029e-01,-7.326007326007299980e-02,-2.927472527472527730e+00,0.000000000000000000e+00,0.000000000000000000e+00
