time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,-6.043956043956200119e-02,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.975905895233154297e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.812095642089843750e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,-6.043956043956200119e-02,5.494505494507251342e-03,0.000000000000000000e+00,2.975905895233154297e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.812189102172851562e-03,5.722133211261137831e-04,5.722133211261137831e-04,1.907288609411168234e-01,1.907288609411168234e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.103442828704852330e-01,3.133491253616052408e+00,2.103442828704852330e-01,1.577677485959109727e-01,2.930402930402919992e-03,1.192673992673991989e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.081228256225585938e-02,1.907377737087045944e-04,9.536888685435229718e-04,-1.907288609411168234e-01,1.907288609411168234e-01,5.722133211261137831e-04,5.722133211261137831e-04,1.907288609411168234e-01,1.907288609411168234e-01,-1.042821699716358630e-01,3.146412460269302880e+00,-1.042821699716358630e-01,1.712094230073397949e-01,2.930402930402919992e-03,1.690842490842490164e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.281237602233886719e-02,1.907377737087045944e-04,1.716639963378341349e-03,0.000000000000000000e+00,3.814577218822336468e-01,1.907377737087045944e-04,9.536888685435229718e-04,-1.907288609411168234e-01,1.907288609411168234e-01,-8.768325556893642736e-02,3.153775403665904697e+00,-8.768325556893642736e-02,1.794995762580679777e-01,-8.791208791208759976e-03,2.165567765567764980e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.481270790100097656e-02,5.722133211261137831e-04,3.242542153047978104e-03,1.907061280613860654e-01,7.628245122455442617e-01,1.907377737087045944e-04,1.716639963378341349e-03,0.000000000000000000e+00,3.814577218822336468e-01,2.046286059014478798e-01,3.156451850404142778e+00,2.046286059014478798e-01,1.840960078138108580e-01,-2.051282051282043994e-02,2.382417582417582835e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.681280136108398438e-02,1.335164415960932160e-03,5.149919890135024048e-03,3.814577218822336468e-01,9.536443047055841449e-01,5.722133211261137831e-04,3.242542153047978104e-03,1.907061280613860654e-01,7.628245122455442617e-01,2.359296685341565059e-01,3.156085948999425739e+00,2.359296685341565059e-01,1.858684826450556216e-01,-3.809523809523795990e-02,2.546520146520146355e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.881289482116699219e-02,2.098115510795750538e-03,7.438773174639479180e-03,3.814577218822336468e-01,1.144373165646700885e+00,1.335164415960932160e-03,5.149919890135024048e-03,3.814577218822336468e-01,9.536443047055841449e-01,2.414117372284965701e-01,3.154060254920911799e+00,2.414117372284965701e-01,1.868454321517466488e-01,-6.153846153846131983e-02,2.652014652014651475e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.081298828125000000e-02,3.624017700465387293e-03,1.049057755397875269e-02,7.629154437644672937e-01,1.525830887528934587e+00,2.098115510795750538e-03,7.438773174639479180e-03,3.814577218822336468e-01,1.144373165646700885e+00,2.458842291227419929e-01,3.150554563103523886e+00,2.458842291227419929e-01,1.876210227592856328e-01,-8.498168498168467977e-02,2.669597069597068995e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.281308174133300781e-02,5.531395437552433236e-03,1.392385748073543539e-02,9.536443047055841449e-01,1.716559748470051439e+00,3.624017700465387293e-03,1.049057755397875269e-02,7.629154437644672937e-01,1.525830887528934587e+00,2.478805870818877322e-01,3.146279582141544129e+00,2.478805870818877322e-01,1.881520835148350612e-01,-8.498168498168467977e-02,2.716483516483515714e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.481317520141601562e-02,7.438773174639479180e-03,1.773861295490952728e-02,9.536443047055841449e-01,1.907288609411168290e+00,5.531395437552433236e-03,1.392385748073543539e-02,9.536443047055841449e-01,1.716559748470051439e+00,2.487858451862138554e-01,3.140995566164648256e+00,2.487858451862138554e-01,1.885657947413086066e-01,-6.153846153846131983e-02,2.728205128205127394e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.681350708007812500e-02,9.346150911726525123e-03,2.231631952391843754e-02,9.535306403069302439e-01,2.288473536736632674e+00,7.438773174639479180e-03,1.773861295490952728e-02,9.536443047055841449e-01,1.907288609411168290e+00,2.493064397023972145e-01,3.130435942726147669e+00,2.493064397023972145e-01,1.889774790573245378e-01,-7.326007326007299980e-02,2.716483516483515714e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.881360054016113281e-02,1.201647974364838944e-02,2.727550164034475699e-02,1.335102026587817736e+00,2.479475192234518843e+00,9.346150911726525123e-03,2.231631952391843754e-02,9.535306403069302439e-01,2.288473536736632674e+00,2.499586678123278394e-01,3.118826426316311462e+00,2.499586678123278394e-01,1.893248928080105697e-01,-6.739926739926715982e-02,2.734065934065933234e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.081369400024414062e-02,1.468680857557025377e-02,3.261615930418848563e-02,1.335102026587817736e+00,2.670204053175635472e+00,1.201647974364838944e-02,2.727550164034475699e-02,1.335102026587817736e+00,2.479475192234518843e+00,2.503585421010278145e-01,3.104314183778769998e+00,2.503585421010278145e-01,1.896327491474224802e-01,-6.153846153846131983e-02,2.769230769230770051e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.281378746032714844e-02,1.773861295490952728e-02,3.871976806286703265e-02,1.525830887528934587e+00,3.051661775057869175e+00,1.468680857557025377e-02,3.261615930418848563e-02,1.335102026587817736e+00,2.670204053175635472e+00,2.507305815604334853e-01,3.083675081637325288e+00,2.507305815604334853e-01,1.899635147122763490e-01,-4.981684981684963986e-02,2.728205128205127394e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.481388092041015625e-02,2.079041733424880078e-02,4.520485236896298886e-02,1.525830887528934587e+00,3.242390635998985804e+00,1.773861295490952728e-02,3.871976806286703265e-02,1.525830887528934587e+00,3.051661775057869175e+00,2.509870871693955507e-01,3.058026684914377569e+00,2.509870871693955507e-01,1.902622119529517597e-01,-3.897435897435901353e-01,2.698901098901098194e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.681397438049316406e-02,2.384222171358807429e-02,5.207141222247635426e-02,1.525830887528934587e+00,3.433119496940102877e+00,2.079041733424880078e-02,4.520485236896298886e-02,1.525830887528934587e+00,3.242390635998985804e+00,2.511730482441272283e-01,3.026193225240685347e+00,2.511730482441272283e-01,1.905382512569205045e-01,-4.483516483516485351e-01,2.728205128205127394e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.881406784057617188e-02,2.689402609292734780e-02,5.970092317082453803e-02,1.525830887528934587e+00,3.814577218822336580e+00,2.384222171358807429e-02,5.207141222247635426e-02,1.525830887528934587e+00,3.433119496940102877e+00,2.513120090706709719e-01,2.970861304426797300e+00,2.513120090706709719e-01,1.908417827135406586e-01,-4.249084249084251752e-01,2.745787545787544914e+00,0.000000000000000000e+00,0.000000000000000000e+00
