time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.997568130493164062e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.846977233886718750e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,5.494505494507251342e-03,0.000000000000000000e+00,2.997568130493164062e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.847070693969726562e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.997568130493164062e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,6.241758241758237347e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.847164154052734375e-03,1.907377737087045944e-04,9.536888685435229718e-04,0.000000000000000000e+00,3.814577218822336468e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.997568130493164062e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,1.438827838827839045e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.184725761413574219e-02,1.907377737087045944e-04,2.861066605630568915e-03,0.000000000000000000e+00,9.536443047055841449e-01,1.907377737087045944e-04,9.536888685435229718e-04,0.000000000000000000e+00,3.814577218822336468e-01,0.000000000000000000e+00,2.997568130493164062e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,1.843223443223443780e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.384735107421875000e-02,5.722133211261137831e-04,5.531395437552433236e-03,1.907288609411168234e-01,1.335102026587817736e+00,1.907377737087045944e-04,2.861066605630568915e-03,0.000000000000000000e+00,9.536443047055841449e-01,0.000000000000000000e+00,2.983613967895507812e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.136263736263735780e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.584744453430175781e-02,5.722133211261137831e-04,7.438773174639479180e-03,0.000000000000000000e+00,9.536443047055841449e-01,5.722133211261137831e-04,5.531395437552433236e-03,1.907288609411168234e-01,1.335102026587817736e+00,0.000000000000000000e+00,2.983613967895507812e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.223443223443211991e-02,2.804395604395605091e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.784753799438476562e-02,1.335164415960932160e-03,8.964675364309115935e-03,3.814577218822336468e-01,7.629154437644672937e-01,5.722133211261137831e-04,7.438773174639479180e-03,0.000000000000000000e+00,9.536443047055841449e-01,0.000000000000000000e+00,2.983613967895507812e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.084249084249051975e-02,2.669597069597068995e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.984763145446777344e-02,3.242542153047978104e-03,1.239795529106579863e-02,9.536443047055841449e-01,1.716559748470051439e+00,1.335164415960932160e-03,8.964675364309115935e-03,3.814577218822336468e-01,7.629154437644672937e-01,0.000000000000000000e+00,2.983613967895507812e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.670329670329635974e-02,2.610989010989010595e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.184772491455078125e-02,4.768444342717614859e-03,1.544975967040507214e-02,7.629154437644672937e-01,1.525830887528934587e+00,3.242542153047978104e-03,1.239795529106579863e-02,9.536443047055841449e-01,1.716559748470051439e+00,0.000000000000000000e+00,2.983613967895507812e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.567765567765547985e-02,2.745787545787544914e+00,0.000000000000000000e+00,0.000000000000000000e+00
