time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,-1.907377737087045944e-04,1.907377737087045944e-04,-1.263736263736277010e-01,5.494505494507251342e-03,-1.907377737087045944e-04,1.907377737087045944e-04,-1.263736263736277010e-01,5.494505494507251342e-03,-2.388192433843239204e-01,3.056056726153461689e+00,-2.388192433843239204e-01,6.029604690846638443e-02,2.930402930402919992e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.927801132202148438e-03,1.907377737087045944e-04,1.907377737087045944e-04,6.435363449443064210e-02,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,6.435363449443064210e-02,0.000000000000000000e+00,2.267264100709864838e-01,2.996380329132080078e+00,2.267264100709864838e-01,0.000000000000000000e+00,8.791208791208759976e-03,1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.927894592285156250e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.997568130493164062e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.351648351648357504e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.927988052368164062e-03,1.907377737087045944e-04,1.335164415960932160e-03,0.000000000000000000e+00,5.721865828233504425e-01,1.907377737087045944e-04,1.335164415960932160e-03,0.000000000000000000e+00,5.721865828233504425e-01,0.000000000000000000e+00,3.126212150586481719e+00,0.000000000000000000e+00,1.869707412847238515e-01,2.930402930402919992e-03,1.497435897435897445e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.192808151245117188e-02,1.907377737087045944e-04,3.624017700465387293e-03,0.000000000000000000e+00,1.144373165646700885e+00,1.907377737087045944e-04,3.624017700465387293e-03,0.000000000000000000e+00,1.144373165646700885e+00,0.000000000000000000e+00,2.714323152057771082e+00,0.000000000000000000e+00,1.885913500710766910e-01,2.930402930402919992e-03,1.884249084249084660e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.392817497253417969e-02,5.722133211261137831e-04,5.912870984969842425e-03,1.907288609411168234e-01,1.144373165646700885e+00,5.722133211261137831e-04,5.912870984969842425e-03,1.907288609411168234e-01,1.144373165646700885e+00,2.431369433694949012e-01,2.407567847721223231e+00,2.431369433694949012e-01,1.885913500710766910e-01,8.791208791208759976e-03,2.241758241758240899e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.592826843261718750e-02,5.722133211261137831e-04,7.057297627222069991e-03,0.000000000000000000e+00,5.721865828233504425e-01,5.722133211261137831e-04,7.057297627222069991e-03,0.000000000000000000e+00,5.721865828233504425e-01,0.000000000000000000e+00,3.125424415601130157e+00,0.000000000000000000e+00,1.869707412847238515e-01,-3.223443223443211991e-02,2.657875457875457315e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.792836189270019531e-02,1.716639963378341349e-03,9.346150911726525123e-03,5.721865828233504425e-01,1.144373165646700885e+00,1.716639963378341349e-03,9.346150911726525123e-03,5.721865828233504425e-01,1.144373165646700885e+00,2.491035928520240472e-01,1.411421168796662684e+00,2.491035928520240472e-01,1.885913500710766910e-01,-1.025641025641021997e-01,2.294505494505495236e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.992845535278320312e-02,3.242542153047978104e-03,1.239795529106579863e-02,7.629154437644672937e-01,1.525830887528934587e+00,3.242542153047978104e-03,1.239795529106579863e-02,7.629154437644672937e-01,1.525830887528934587e+00,2.499932298273923603e-01,-5.718751227543045212e-01,2.499932298273923603e-01,1.892349446132491897e-01,-7.912087912087883979e-02,2.482051282051282115e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.192878723144531250e-02,4.768444342717614859e-03,1.544975967040507214e-02,7.628245122455442617e-01,1.525649024491088523e+00,4.768444342717614859e-03,1.544975967040507214e-02,7.628245122455442617e-01,1.525649024491088523e+00,2.499928889426375755e-01,-5.764215638281934284e-01,2.499928889426375755e-01,1.892346690056688763e-01,-4.395604395604379988e-02,1.901831501831502180e+00,0.000000000000000000e+00,0.000000000000000000e+00
