time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-2.747252747252915128e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.995724678039550781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.018804550170898438e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,5.435050152637756204e-02,1.907377737087045944e-04,-1.907377737087045944e-04,-2.747252747252915128e-02,-5.494505494507251342e-03,2.995724678039550781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.019136428833007812e-03,9.536888685435229718e-04,1.907377737087045944e-04,3.814122561227721309e-01,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,5.435050152637756204e-02,2.995724678039550781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.263003663003663846e+00,1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.101922988891601562e-02,1.335164415960932160e-03,1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,9.536888685435229718e-04,1.907377737087045944e-04,3.814122561227721309e-01,0.000000000000000000e+00,2.995724678039550781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.772893772893773701e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.301932334899902344e-02,2.098115510795750538e-03,5.722133211261137831e-04,3.814577218822336468e-01,1.907288609411168234e-01,1.335164415960932160e-03,1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,2.995724678039550781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.282783882783883556e+00,-2.051282051282043994e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.501941680908203125e-02,2.861066605630568915e-03,9.536888685435229718e-04,3.814577218822336468e-01,1.907288609411168234e-01,2.098115510795750538e-03,5.722133211261137831e-04,3.814577218822336468e-01,1.907288609411168234e-01,2.876058340072631836e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.581684981684981395e+00,-3.809523809523795990e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.701951026916503906e-02,3.624017700465387293e-03,2.098115510795750538e-03,3.814577218822336468e-01,5.721865828233504425e-01,2.861066605630568915e-03,9.536888685435229718e-04,3.814577218822336468e-01,1.907288609411168234e-01,2.876058340072631836e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.780952380952381731e+00,-6.739926739926715982e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.901960372924804688e-02,4.386968795300205670e-03,3.242542153047978104e-03,3.814577218822336468e-01,5.721865828233504425e-01,3.624017700465387293e-03,2.098115510795750538e-03,3.814577218822336468e-01,5.721865828233504425e-01,2.876058340072631836e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.769230769230770051e+00,-9.670329670329635974e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.101969718933105469e-02,5.531395437552433236e-03,4.768444342717614859e-03,5.721865828233504425e-01,7.629154437644672937e-01,4.386968795300205670e-03,3.242542153047978104e-03,3.814577218822336468e-01,5.721865828233504425e-01,2.876058340072631836e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.792673992673993411e+00,-9.670329670329635974e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.301979064941406250e-02,6.675822079804660802e-03,6.294346532387251614e-03,5.721865828233504425e-01,7.629154437644672937e-01,5.531395437552433236e-03,4.768444342717614859e-03,5.721865828233504425e-01,7.629154437644672937e-01,2.876058340072631836e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.804395604395605091e+00,-1.025641025641021997e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.501988410949707031e-02,7.820248722056888369e-03,8.583199816891706746e-03,5.721865828233504425e-01,1.144373165646700885e+00,6.675822079804660802e-03,6.294346532387251614e-03,5.721865828233504425e-01,7.629154437644672937e-01,2.993680000305175781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.786813186813187571e+00,-1.142857142857138797e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.701997756958007812e-02,9.727626459143934312e-03,1.125352864881357107e-02,9.536443047055841449e-01,1.335102026587817736e+00,7.820248722056888369e-03,8.583199816891706746e-03,5.721865828233504425e-01,1.144373165646700885e+00,2.993680000305175781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.710622710622709874e+00,-1.142857142857138797e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.902030944824218750e-02,1.087205310139616188e-02,1.392385748073543539e-02,5.721183841841581685e-01,1.334942896429702319e+00,9.727626459143934312e-03,1.125352864881357107e-02,9.536443047055841449e-01,1.335102026587817736e+00,2.993680000305175781e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.704761904761904034e+00,-1.318681318681313996e-01,0.000000000000000000e+00,0.000000000000000000e+00
