time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,-6.043956043956200119e-02,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.965245246887207031e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.063699722290039062e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,-6.043956043956200119e-02,5.494505494507251342e-03,2.963072061538696289e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.063793182373046875e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.998686075210571289e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.179487179487171744e-01,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.006388664245605469e-02,9.536888685435229718e-04,1.907377737087045944e-04,3.814577218822336468e-01,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.230486988692797823e+00,0.000000000000000000e+00,2.305504080348388940e-01,0.000000000000000000e+00,1.421245421245421525e+00,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.206398010253906250e-02,3.242542153047978104e-03,1.907377737087045944e-04,1.144373165646700885e+00,0.000000000000000000e+00,9.536888685435229718e-04,1.907377737087045944e-04,3.814577218822336468e-01,0.000000000000000000e+00,3.246089545470685955e+00,0.000000000000000000e+00,2.461005127253247937e-01,0.000000000000000000e+00,1.737728937728936884e+00,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.406407356262207031e-02,5.912870984969842425e-03,1.907377737087045944e-04,1.335102026587817736e+00,0.000000000000000000e+00,3.242542153047978104e-03,1.907377737087045944e-04,1.144373165646700885e+00,0.000000000000000000e+00,3.248617171886119870e+00,0.000000000000000000e+00,2.486200329090689776e-01,0.000000000000000000e+00,2.353113553113553635e+00,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.606416702270507812e-02,7.057297627222069991e-03,1.335164415960932160e-03,5.721865828233504425e-01,5.721865828233504425e-01,5.912870984969842425e-03,1.907377737087045944e-04,1.335102026587817736e+00,0.000000000000000000e+00,3.248725388206766596e+00,1.781504754350725916e-01,2.487261034625038447e-01,1.781504754350725916e-01,2.956776556776556930e+00,-9.670329670329635974e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.806426048278808594e-02,7.820248722056888369e-03,2.479591058213159727e-03,3.814577218822336468e-01,5.721865828233504425e-01,7.057297627222069991e-03,1.335164415960932160e-03,5.721865828233504425e-01,5.721865828233504425e-01,3.248530747954687659e+00,1.828805109364578518e-01,2.485307479546876031e-01,1.828805109364578518e-01,2.868864468864469330e+00,-1.142857142857138797e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.006435394287109375e-02,8.964675364309115935e-03,4.386968795300205670e-03,5.721865828233504425e-01,9.536443047055841449e-01,7.820248722056888369e-03,2.479591058213159727e-03,3.814577218822336468e-01,5.721865828233504425e-01,3.248658473969836535e+00,1.854766167040266533e-01,2.486584739698366742e-01,1.854766167040266533e-01,2.997802197802197810e+00,-1.435897435897430796e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.206444740295410156e-02,1.010910200656134350e-02,6.675822079804660802e-03,5.721865828233504425e-01,1.144373165646700885e+00,8.964675364309115935e-03,4.386968795300205670e-03,5.721865828233504425e-01,9.536443047055841449e-01,3.248755420738987709e+00,1.866712825226822248e-01,2.487554207389876537e-01,1.866712825226822248e-01,2.868864468864469330e+00,-1.670329670329664395e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.406454086303710938e-02,1.163500419623098026e-02,9.346150911726525123e-03,7.629154437644672937e-01,1.335102026587817736e+00,1.010910200656134350e-02,6.675822079804660802e-03,5.721865828233504425e-01,1.144373165646700885e+00,3.249071654714462909e+00,1.874025193676879808e-01,2.490716547144629367e-01,1.874025193676879808e-01,2.734065934065933234e+00,-1.494505494505489196e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.606463432312011719e-02,1.354238193331802620e-02,1.201647974364838944e-02,9.536443047055841449e-01,1.335102026587817736e+00,1.163500419623098026e-02,9.346150911726525123e-03,7.629154437644672937e-01,1.335102026587817736e+00,3.249487969481809735e+00,1.878217243429922412e-01,2.494879694818097904e-01,1.878217243429922412e-01,2.816117216117216770e+00,-1.728937728937722795e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.806472778320312500e-02,1.544975967040507214e-02,1.544975967040507214e-02,9.536443047055841449e-01,1.716559748470051439e+00,1.354238193331802620e-02,1.201647974364838944e-02,9.536443047055841449e-01,1.335102026587817736e+00,3.249767550714720787e+00,1.882748701432679916e-01,2.497675507147209817e-01,1.882748701432679916e-01,2.868864468864469330e+00,-1.670329670329664395e-01,0.000000000000000000e+00,0.000000000000000000e+00
