time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,1.907377737087045944e-04,1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,3.979035377502441406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.579399108886718750e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.979035377502441406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.579492568969726562e-03,5.722133211261137831e-04,5.722133211261137831e-04,1.907288609411168234e-01,1.907288609411168234e-01,5.722133211261137831e-04,5.722133211261137831e-04,1.907288609411168234e-01,1.907288609411168234e-01,3.979035377502441406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.761172161172162021e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.057958602905273438e-02,1.335164415960932160e-03,5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,1.335164415960932160e-03,5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,3.979035377502441406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.358974358974359475e+00,-1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.257967948913574219e-02,2.479591058213159727e-03,1.335164415960932160e-03,5.721865828233504425e-01,3.814577218822336468e-01,2.479591058213159727e-03,1.335164415960932160e-03,5.721865828233504425e-01,3.814577218822336468e-01,3.979035377502441406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.144322344322343810e+00,-6.739926739926715982e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.457977294921875000e-02,3.624017700465387293e-03,2.479591058213159727e-03,5.721865828233504425e-01,5.721865828233504425e-01,3.624017700465387293e-03,2.479591058213159727e-03,5.721865828233504425e-01,5.721865828233504425e-01,3.972106933593750000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.513553113553113505e+00,-1.084249084249080397e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.657986640930175781e-02,4.768444342717614859e-03,4.386968795300205670e-03,5.721865828233504425e-01,9.536443047055841449e-01,4.768444342717614859e-03,4.386968795300205670e-03,5.721865828233504425e-01,9.536443047055841449e-01,3.972106933593750000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.677655677655677025e+00,-1.318681318681313996e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.858019828796386719e-02,5.912870984969842425e-03,5.912870984969842425e-03,5.721183841841581685e-01,7.628245122455442617e-01,5.912870984969842425e-03,5.912870984969842425e-03,5.721183841841581685e-01,7.628245122455442617e-01,3.972106933593750000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.724542124542123744e+00,-1.553113553113547596e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.058029174804687500e-02,7.820248722056888369e-03,8.964675364309115935e-03,9.536443047055841449e-01,1.525830887528934587e+00,7.820248722056888369e-03,8.964675364309115935e-03,9.536443047055841449e-01,1.525830887528934587e+00,3.972106933593750000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.853479853479854000e+00,-1.611721611721605996e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.258038520812988281e-02,9.727626459143934312e-03,1.163500419623098026e-02,9.536443047055841449e-01,1.335102026587817736e+00,9.727626459143934312e-03,1.163500419623098026e-02,9.536443047055841449e-01,1.335102026587817736e+00,3.972106933593750000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.953113553113553280e+00,-1.553113553113547596e-01,0.000000000000000000e+00,0.000000000000000000e+00
