time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,-1.907377737087045944e-04,-5.722133211261137831e-04,-2.747252747252915128e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.972509384155273438e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.104230880737304688e-03,1.907377737087045944e-04,-1.907377737087045944e-04,6.249363021657731304e-02,6.249363021657731304e-02,-1.907377737087045944e-04,-5.722133211261137831e-04,-2.747252747252915128e-02,-5.494505494507251342e-03,1.972509384155273438e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.104324340820312500e-03,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-1.907288609411168234e-01,1.907377737087045944e-04,-1.907377737087045944e-04,6.249363021657731304e-02,6.249363021657731304e-02,1.972509384155273438e+00,-1.577677485959109727e-01,0.000000000000000000e+00,-1.577677485959109727e-01,2.373626373626365194e-01,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.010441780090332031e-02,5.722133211261137831e-04,-1.907377737087045944e-04,1.907288609411168234e-01,1.907288609411168234e-01,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-1.907288609411168234e-01,2.182853667025758782e+00,7.821353476733630683e-02,2.103442828704852330e-01,7.821353476733630683e-02,6.827838827838821345e-01,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.210451126098632812e-02,1.716639963378341349e-03,-5.722133211261137831e-04,5.721865828233504425e-01,-1.907288609411168234e-01,5.722133211261137831e-04,-1.907377737087045944e-04,1.907288609411168234e-01,1.907288609411168234e-01,2.212961221986459837e+00,-1.522266815858050459e-01,2.404518378311865934e-01,-1.522266815858050459e-01,1.005128205128205110e+00,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.410460472106933594e-02,3.242542153047978104e-03,-5.722133211261137831e-04,7.629154437644672937e-01,0.000000000000000000e+00,1.716639963378341349e-03,-5.722133211261137831e-04,5.721865828233504425e-01,-1.907288609411168234e-01,3.238998124382426624e+00,-1.438872662543518033e-01,2.456407044147750629e-01,-1.438872662543518033e-01,1.268864468864469686e+00,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.610469818115234375e-02,6.294346532387251614e-03,-5.722133211261137831e-04,1.525830887528934587e+00,0.000000000000000000e+00,3.242542153047978104e-03,-5.722133211261137831e-04,7.629154437644672937e-01,0.000000000000000000e+00,3.242128310294818849e+00,-1.340713131115678081e-01,2.487708903271675653e-01,-1.340713131115678081e-01,1.854945054945055460e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.810479164123535156e-02,7.057297627222069991e-03,-5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,6.294346532387251614e-03,-5.722133211261137831e-04,1.525830887528934587e+00,0.000000000000000000e+00,3.241927483358486572e+00,-1.228231400938547269e-01,2.485700633908351498e-01,-1.228231400938547269e-01,2.775091575091575891e+00,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.010488510131835938e-02,7.820248722056888369e-03,-9.536888685435229718e-04,3.814577218822336468e-01,-1.907288609411168234e-01,7.057297627222069991e-03,-5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,3.241752135105407273e+00,-1.654316954669778073e-01,2.483947151377558227e-01,-1.654316954669778073e-01,2.810256410256410931e+00,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.210497856140136719e-02,9.346150911726525123e-03,-9.536888685435229718e-04,7.629154437644672937e-01,0.000000000000000000e+00,7.820248722056888369e-03,-9.536888685435229718e-04,3.814577218822336468e-01,-1.907288609411168234e-01,3.242187498196388074e+00,-1.598397534446406310e-01,2.488300782287366231e-01,-1.598397534446406310e-01,2.980219780219780290e+00,3.223443223443211991e-02,0.000000000000000000e+00,0.000000000000000000e+00
