time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,1.043956043956058011e-01,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.147979483102792297e+00,0.000000000000000000e+00,1.798820347537930797e-01,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.401062011718750000e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,1.043956043956058011e-01,-5.494505494507251342e-03,3.133129332514975385e+00,0.000000000000000000e+00,1.650318841659764724e-01,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.401155471801757812e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.116646599925942951e+00,0.000000000000000000e+00,1.485491515769437332e-01,0.000000000000000000e+00,5.597069597069594948e-01,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.040124893188476562e-02,9.536888685435229718e-04,-1.907377737087045944e-04,3.814577218822336468e-01,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.201197565140577961e+00,0.000000000000000000e+00,2.331001167915789096e-01,0.000000000000000000e+00,1.444688644688644885e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.240134239196777344e-02,1.335164415960932160e-03,-1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,9.536888685435229718e-04,-1.907377737087045944e-04,3.814577218822336468e-01,0.000000000000000000e+00,3.204723234471440474e+00,0.000000000000000000e+00,2.366257861224414227e-01,0.000000000000000000e+00,2.106959706959706580e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.440143585205078125e-02,2.098115510795750538e-03,-5.722133211261137831e-04,3.814577218822336468e-01,-1.907288609411168234e-01,1.335164415960932160e-03,-1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,3.209697085907603054e+00,-1.577677485959109727e-01,2.416547122503763800e-01,-1.577677485959109727e-01,2.476190476190476275e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.640152931213378906e-02,3.242542153047978104e-03,-5.722133211261137831e-04,5.721865828233504425e-01,0.000000000000000000e+00,2.098115510795750538e-03,-5.722133211261137831e-04,3.814577218822336468e-01,-1.907288609411168234e-01,3.213071702706519872e+00,-1.505264837993047500e-01,2.450293290492934484e-01,-1.505264837993047500e-01,2.704761904761904034e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.840162277221679688e-02,4.005493247882796481e-03,-5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,3.242542153047978104e-03,-5.722133211261137831e-04,5.721865828233504425e-01,0.000000000000000000e+00,3.213758153784116001e+00,-1.418680783220370167e-01,2.457157801268893826e-01,-1.418680783220370167e-01,2.769230769230770051e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.040171623229980469e-02,5.531395437552433236e-03,-1.335164415960932160e-03,7.629154437644672937e-01,-3.814577218822336468e-01,4.005493247882796481e-03,-5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,3.215417073584835528e+00,-1.761133533484711411e-01,2.473746999276091318e-01,-1.761133533484711411e-01,2.780952380952381731e+00,9.084249084249051975e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.240180969238281250e-02,6.675822079804660802e-03,-3.624017700465387293e-03,5.721865828233504425e-01,-1.144373165646700885e+00,5.531395437552433236e-03,-1.335164415960932160e-03,7.629154437644672937e-01,-3.814577218822336468e-01,3.215883083756401195e+00,-1.848749224820475934e-01,2.478407100991745493e-01,-1.848749224820475934e-01,2.898168498168498530e+00,1.904761904761897995e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.440190315246582031e-02,7.820248722056888369e-03,-5.531395437552433236e-03,5.721865828233504425e-01,-9.536443047055841449e-01,6.675822079804660802e-03,-3.624017700465387293e-03,5.721865828233504425e-01,-1.144373165646700885e+00,3.217936612657474438e+00,-1.861735596683140592e-01,2.481575980700722883e-01,-1.861735596683140592e-01,2.968498168498168610e+00,1.318681318681313996e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.640199661254882812e-02,9.346150911726525123e-03,-7.820248722056888369e-03,7.629154437644672937e-01,-1.144373165646700885e+00,7.820248722056888369e-03,-5.531395437552433236e-03,5.721865828233504425e-01,-9.536443047055841449e-01,3.218456828544360881e+00,-1.869930375322474414e-01,2.486778139569584822e-01,-1.869930375322474414e-01,2.880586080586081010e+00,9.670329670329635974e-02,0.000000000000000000e+00,0.000000000000000000e+00
