time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,5.722133211261137831e-04,-1.907377737087045944e-04,1.043956043956058011e-01,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.970409393310546875e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.167650222778320312e-03,1.907377737087045944e-04,-1.907377737087045944e-04,-6.185103461421118110e-02,0.000000000000000000e+00,5.722133211261137831e-04,-1.907377737087045944e-04,1.043956043956058011e-01,-5.494505494507251342e-03,2.970409393310546875e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.167743682861328125e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-6.185103461421118110e-02,0.000000000000000000e+00,2.970409393310546875e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.479853479853478149e-01,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.016783714294433594e-02,5.722133211261137831e-04,-1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.970409393310546875e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.421245421245421525e+00,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.216793060302734375e-02,1.716639963378341349e-03,-5.722133211261137831e-04,5.721865828233504425e-01,-1.907288609411168234e-01,5.722133211261137831e-04,-1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,2.970409393310546875e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.077655677655677380e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.416802406311035156e-02,2.479591058213159727e-03,-5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,1.716639963378341349e-03,-5.722133211261137831e-04,5.721865828233504425e-01,-1.907288609411168234e-01,2.972111463546752930e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.464468864468864595e+00,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.616835594177246094e-02,3.624017700465387293e-03,-9.536888685435229718e-04,5.721183841841581685e-01,-1.907061280613860654e-01,2.479591058213159727e-03,-5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,2.972111463546752930e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.710622710622709874e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.816844940185546875e-02,4.005493247882796481e-03,-9.536888685435229718e-04,1.907288609411168234e-01,0.000000000000000000e+00,3.624017700465387293e-03,-9.536888685435229718e-04,5.721183841841581685e-01,-1.907061280613860654e-01,2.972111463546752930e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.769230769230770051e+00,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.016854286193847656e-02,5.149919890135024048e-03,-1.335164415960932160e-03,5.721865828233504425e-01,-1.907288609411168234e-01,4.005493247882796481e-03,-9.536888685435229718e-04,1.907288609411168234e-01,0.000000000000000000e+00,2.972111463546752930e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.769230769230770051e+00,3.223443223443211991e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.216863632202148438e-02,6.675822079804660802e-03,-3.242542153047978104e-03,7.629154437644672937e-01,-9.536443047055841449e-01,5.149919890135024048e-03,-1.335164415960932160e-03,5.721865828233504425e-01,-1.907288609411168234e-01,2.972111463546752930e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.833699633699634290e+00,1.787545787545781195e-01,0.000000000000000000e+00,0.000000000000000000e+00
