time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.970173835754394531e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.937099456787109375e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,2.970173835754394531e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.937192916870117188e-03,5.722133211261137831e-04,-1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.180518118624879875e+00,0.000000000000000000e+00,2.103442828704852330e-01,0.000000000000000000e+00,5.538461538461536549e-01,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.937286376953125000e-03,9.536888685435229718e-04,-1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,5.722133211261137831e-04,-1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,3.198430178967534676e+00,0.000000000000000000e+00,2.282563432131401449e-01,0.000000000000000000e+00,1.421245421245421525e+00,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.193761825561523438e-02,1.335164415960932160e-03,-5.722133211261137831e-04,1.907061280613860654e-01,-1.907061280613860654e-01,9.536888685435229718e-04,-1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,3.204468867111082364e+00,-1.577642352718315877e-01,2.342950313566878329e-01,-1.577642352718315877e-01,2.095238095238094900e+00,1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.393771171569824219e-02,2.479591058213159727e-03,-9.536888685435229718e-04,5.721865828233504425e-01,-1.907288609411168234e-01,1.335164415960932160e-03,-5.722133211261137831e-04,1.907061280613860654e-01,-1.907061280613860654e-01,3.214709703028189036e+00,-1.712085127509576921e-01,2.430538573860992757e-01,-1.712085127509576921e-01,2.452747252747252915e+00,3.809523809523795990e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.593780517578125000e-02,3.242542153047978104e-03,-1.716639963378341349e-03,3.814577218822336468e-01,-3.814577218822336468e-01,2.479591058213159727e-03,-9.536888685435229718e-04,5.721865828233504425e-01,-1.907288609411168234e-01,3.216179349185186442e+00,-1.794993717296280156e-01,2.445235035430965431e-01,-1.794993717296280156e-01,2.716483516483515714e+00,7.912087912087883979e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.793789863586425781e-02,4.005493247882796481e-03,-2.861066605630568915e-03,3.814577218822336468e-01,-5.721865828233504425e-01,3.242542153047978104e-03,-1.716639963378341349e-03,3.814577218822336468e-01,-3.814577218822336468e-01,3.217048233260584755e+00,-1.832495943026271334e-01,2.453923876184947450e-01,-1.832495943026271334e-01,2.816117216117216770e+00,9.670329670329635974e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.993799209594726562e-02,5.149919890135024048e-03,-4.386968795300205670e-03,5.721865828233504425e-01,-7.629154437644672937e-01,4.005493247882796481e-03,-2.861066605630568915e-03,3.814577218822336468e-01,-5.721865828233504425e-01,3.218321627133566398e+00,-1.851675250649006954e-01,2.466657814914766655e-01,-1.851675250649006954e-01,2.857142857142857650e+00,1.025641025641021997e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.193808555603027344e-02,6.294346532387251614e-03,-5.912870984969842425e-03,5.721865828233504425e-01,-7.629154437644672937e-01,5.149919890135024048e-03,-4.386968795300205670e-03,5.721865828233504425e-01,-7.629154437644672937e-01,3.219045736392313728e+00,-1.860201363490917303e-01,2.473898907502239675e-01,-1.860201363490917303e-01,2.886446886446886850e+00,9.670329670329635974e-02,0.000000000000000000e+00,0.000000000000000000e+00
