time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.990992784500122070e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.176160812377929688e-03,5.722133211261137831e-04,1.907377737087045944e-04,5.315872336074384946e-02,5.315872336074384946e-02,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,2.990992784500122070e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.176254272460937500e-03,5.722133211261137831e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.722133211261137831e-04,1.907377737087045944e-04,5.315872336074384946e-02,5.315872336074384946e-02,2.990992784500122070e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.204395604395603669e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.117634773254394531e-02,1.716639963378341349e-03,-1.907377737087045944e-04,5.721865828233504425e-01,-1.907288609411168234e-01,5.722133211261137831e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.990992784500122070e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.702564102564101844e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.317644119262695312e-02,2.479591058213159727e-03,-5.722133211261137831e-04,3.814577218822336468e-01,-1.907288609411168234e-01,1.716639963378341349e-03,-1.907377737087045944e-04,5.721865828233504425e-01,-1.907288609411168234e-01,2.990992784500122070e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.212454212454211699e+00,3.809523809523795990e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.517653465270996094e-02,3.242542153047978104e-03,-1.335164415960932160e-03,3.814577218822336468e-01,-3.814577218822336468e-01,2.479591058213159727e-03,-5.722133211261137831e-04,3.814577218822336468e-01,-1.907288609411168234e-01,2.992446422576904297e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.470329670329670435e+00,6.739926739926715982e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.717662811279296875e-02,4.386968795300205670e-03,-2.479591058213159727e-03,5.721865828233504425e-01,-5.721865828233504425e-01,3.242542153047978104e-03,-1.335164415960932160e-03,3.814577218822336468e-01,-3.814577218822336468e-01,2.992446422576904297e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.681318681318680675e+00,1.025641025641021997e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.917672157287597656e-02,5.912870984969842425e-03,-3.624017700465387293e-03,7.629154437644672937e-01,-5.721865828233504425e-01,4.386968795300205670e-03,-2.479591058213159727e-03,5.721865828233504425e-01,-5.721865828233504425e-01,2.992446422576904297e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.757509157509158371e+00,1.318681318681313996e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.117681503295898438e-02,7.057297627222069991e-03,-5.531395437552433236e-03,5.721865828233504425e-01,-9.536443047055841449e-01,5.912870984969842425e-03,-3.624017700465387293e-03,7.629154437644672937e-01,-5.721865828233504425e-01,2.992446422576904297e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.816117216117216770e+00,1.318681318681313996e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.317690849304199219e-02,8.583199816891706746e-03,-8.201724269474297557e-03,7.629154437644672937e-01,-1.335102026587817736e+00,7.057297627222069991e-03,-5.531395437552433236e-03,5.721865828233504425e-01,-9.536443047055841449e-01,2.992446422576904297e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.827838827838828450e+00,1.670329670329664395e-01,0.000000000000000000e+00,0.000000000000000000e+00
