time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-6.043956043956200119e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.990992784500122070e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.139516830444335938e-03,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-6.213445747485647069e-02,1.907377737087045944e-04,-1.907377737087045944e-04,-6.043956043956200119e-02,-5.494505494507251342e-03,2.990992784500122070e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.139610290527343750e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,1.907288609411168234e-01,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-6.213445747485647069e-02,2.990992784500122070e+00,1.577677485959109727e-01,0.000000000000000000e+00,1.577677485959109727e-01,5.304029304029302949e-01,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.013970375061035156e-02,9.536888685435229718e-04,-1.907377737087045944e-04,3.814577218822336468e-01,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,1.907288609411168234e-01,3.221543192534960909e+00,1.505264837993047500e-01,2.305504080348388940e-01,1.505264837993047500e-01,1.309890109890110566e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.213979721069335938e-02,2.861066605630568915e-03,-5.722133211261137831e-04,9.536443047055841449e-01,-1.907288609411168234e-01,9.536888685435229718e-04,-1.907377737087045944e-04,3.814577218822336468e-01,0.000000000000000000e+00,3.236220091830989798e+00,-1.129809366253686359e-01,2.452273073308675333e-01,-1.129809366253686359e-01,1.643956043956043445e+00,4.395604395604379988e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.414012908935546875e-02,5.912870984969842425e-03,-1.907377737087045944e-04,1.525649024491088523e+00,1.907061280613860654e-01,2.861066605630568915e-03,-5.722133211261137831e-04,9.536443047055841449e-01,-1.907288609411168234e-01,3.244390338848905042e+00,1.461816242350859885e-01,2.486756743896766653e-01,1.461816242350859885e-01,2.130402930402929940e+00,6.739926739926715982e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.614022254943847656e-02,7.820248722056888369e-03,-1.335164415960932160e-03,9.536443047055841449e-01,-5.721865828233504425e-01,5.912870984969842425e-03,-1.907377737087045944e-04,1.525649024491088523e+00,1.907061280613860654e-01,3.244953547188299314e+00,-1.756949654131438054e-01,2.492388827290708542e-01,-1.756949654131438054e-01,3.132600732600732130e+00,9.670329670329635974e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.814031600952148438e-02,8.201724269474297557e-03,-2.479591058213159727e-03,1.907288609411168234e-01,-5.721865828233504425e-01,7.820248722056888369e-03,-1.335164415960932160e-03,9.536443047055841449e-01,-5.721865828233504425e-01,3.244450067216572808e+00,-1.823277101302231695e-01,2.487354027573443482e-01,-1.823277101302231695e-01,3.156043956043955490e+00,1.553113553113547596e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.014064788818359375e-02,9.727626459143934312e-03,-4.005493247882796481e-03,7.628245122455442617e-01,-7.628245122455442617e-01,8.201724269474297557e-03,-2.479591058213159727e-03,1.907288609411168234e-01,-5.721865828233504425e-01,3.244772483644418504e+00,-1.848459329946764429e-01,2.490578191851899326e-01,-1.848459329946764429e-01,3.320146520146520785e+00,1.025641025641021997e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.214074134826660156e-02,1.049057755397875269e-02,-6.675822079804660802e-03,3.814577218822336468e-01,-1.335102026587817736e+00,9.727626459143934312e-03,-4.005493247882796481e-03,7.628245122455442617e-01,-7.628245122455442617e-01,3.244539384696389472e+00,-1.866516919303530253e-01,2.488247202371607625e-01,-1.866516919303530253e-01,3.261538461538462386e+00,1.084249084249080397e-01,0.000000000000000000e+00,0.000000000000000000e+00
