time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.943909645080566406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.365703582763671875e-03,5.722133211261137831e-04,-1.907377737087045944e-04,5.179078184874179314e-02,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,5.943909645080566406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.365797042846679688e-03,1.716639963378341349e-03,-1.907377737087045944e-04,5.721865828233504425e-01,0.000000000000000000e+00,5.722133211261137831e-04,-1.907377737087045944e-04,5.179078184874179314e-02,0.000000000000000000e+00,5.943909645080566406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.675457875457874835e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.136589050292968750e-02,4.768444342717614859e-03,-1.907377737087045944e-04,1.525830887528934587e+00,0.000000000000000000e+00,1.716639963378341349e-03,-1.907377737087045944e-04,5.721865828233504425e-01,0.000000000000000000e+00,5.943909645080566406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.220512820512819729e+00,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.336598396301269531e-02,9.727626459143934312e-03,-5.722133211261137831e-04,2.479475192234518843e+00,-1.907288609411168234e-01,4.768444342717614859e-03,-1.907377737087045944e-04,1.525830887528934587e+00,0.000000000000000000e+00,5.943909645080566406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.533333333333333215e+00,4.981684981684963986e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.536631584167480469e-02,1.201647974364838944e-02,-2.479591058213159727e-03,1.144236768368316337e+00,-9.535306403069302439e-01,9.727626459143934312e-03,-5.722133211261137831e-04,2.479475192234518843e+00,-1.907288609411168234e-01,5.990195274353027344e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.670329670329670613e+00,2.021978021978014795e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.736640930175781250e-02,1.468680857557025377e-02,-5.912870984969842425e-03,1.335102026587817736e+00,-1.716559748470051439e+00,1.201647974364838944e-02,-2.479591058213159727e-03,1.144236768368316337e+00,-9.535306403069302439e-01,5.990195274353027344e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.057142857142856940e+00,2.256410256410248394e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.936650276184082031e-02,1.583123521782248133e-02,-8.964675364309115935e-03,5.721865828233504425e-01,-1.525830887528934587e+00,1.468680857557025377e-02,-5.912870984969842425e-03,1.335102026587817736e+00,-1.716559748470051439e+00,5.990195274353027344e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.344322344322343987e+00,2.901098901098908556e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.136659622192382812e-02,1.773861295490952728e-02,-1.354238193331802620e-02,9.536443047055841449e-01,-2.288746331293401770e+00,1.583123521782248133e-02,-8.964675364309115935e-03,5.721865828233504425e-01,-1.525830887528934587e+00,5.990195274353027344e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.033699633699633580e+00,3.311355311355317355e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.336668968200683594e-02,2.079041733424880078e-02,-1.812008850232693646e-02,1.525830887528934587e+00,-2.288746331293401770e+00,1.773861295490952728e-02,-1.354238193331802620e-02,9.536443047055841449e-01,-2.288746331293401770e+00,5.990195274353027344e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.723076923076923173e+00,2.315018315018306794e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.536678314208984375e-02,2.422369726100548348e-02,-2.422369726100548348e-02,1.716559748470051439e+00,-3.051661775057869175e+00,2.079041733424880078e-02,-1.812008850232693646e-02,1.525830887528934587e+00,-2.288746331293401770e+00,5.986740589141845703e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.705494505494505653e+00,2.725274725274733356e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.736687660217285156e-02,2.880140383001439375e-02,-3.147173266193625807e-02,2.288746331293401770e+00,-3.623848357881219506e+00,2.422369726100548348e-02,-2.422369726100548348e-02,1.716559748470051439e+00,-3.051661775057869175e+00,5.986740589141845703e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.447619047619047805e+00,2.725274725274733356e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.936697006225585938e-02,3.223468375677107645e-02,-3.681239032577998671e-02,1.716559748470051439e+00,-2.670204053175635472e+00,2.880140383001439375e-02,-3.147173266193625807e-02,2.288746331293401770e+00,-3.623848357881219506e+00,5.986740589141845703e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.553113553113552925e+00,3.135531135531142155e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.136706352233886719e-02,3.681239032577998671e-02,-4.406042572671076130e-02,2.288746331293401770e+00,-3.623848357881219506e+00,3.223468375677107645e-02,-3.681239032577998671e-02,1.716559748470051439e+00,-2.670204053175635472e+00,5.986740589141845703e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.752380952380952372e+00,3.428571428571434154e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.336715698242187500e-02,4.177157244220630616e-02,-5.168993667505894507e-02,2.479475192234518843e+00,-3.814577218822336580e+00,3.681239032577998671e-02,-4.406042572671076130e-02,2.288746331293401770e+00,-3.623848357881219506e+00,5.986740589141845703e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.939926739926740140e+00,2.959706959706966956e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.536725044250488281e-02,4.749370565346744399e-02,-6.008239871824194722e-02,2.860932914116752546e+00,-4.196034940704570282e+00,4.177157244220630616e-02,-5.168993667505894507e-02,2.479475192234518843e+00,-3.814577218822336580e+00,5.944993972778320312e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.787545787545787412e+00,3.252747252747258955e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.736734390258789062e-02,5.474174105439821858e-02,-7.114518959334681369e-02,3.623848357881219506e+00,-5.531136967292387574e+00,4.749370565346744399e-02,-6.008239871824194722e-02,2.860932914116752546e+00,-4.196034940704570282e+00,5.944993972778320312e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.441758241758241965e+00,3.018315018315025355e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.936743736267089844e-02,6.046387426565935641e-02,-7.877470054169499747e-02,2.860932914116752546e+00,-3.814577218822336580e+00,5.474174105439821858e-02,-7.114518959334681369e-02,3.623848357881219506e+00,-5.531136967292387574e+00,5.944993972778320312e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.476923076923077005e+00,2.608058608058616556e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.136753082275390625e-02,6.771190966659013100e-02,-8.907454032196504556e-02,3.623848357881219506e+00,-5.149679245410154316e+00,6.046387426565935641e-02,-7.877470054169499747e-02,2.860932914116752546e+00,-3.814577218822336580e+00,5.944993972778320312e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.893040293040293420e+00,3.252747252747258955e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.336762428283691406e-02,7.534142061493831477e-02,-1.001373311970699120e-01,3.814577218822336580e+00,-5.531136967292387574e+00,6.771190966659013100e-02,-8.907454032196504556e-02,3.623848357881219506e+00,-5.149679245410154316e+00,5.944993972778320312e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.746520146520146533e+00,3.663003663003667754e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.536771774291992188e-02,8.297093156328649854e-02,-1.119630731670095969e-01,3.814577218822336580e+00,-5.912594689174621720e+00,7.534142061493831477e-02,-1.001373311970699120e-01,3.814577218822336580e+00,-5.531136967292387574e+00,5.948398590087890625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.558974358974358765e+00,3.721611721611726153e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.736804962158203125e-02,9.212634470130431907e-02,-1.264591439688711461e-01,4.576947073473265348e+00,-7.246832866332669987e+00,8.297093156328649854e-02,-1.119630731670095969e-01,3.814577218822336580e+00,-5.912594689174621720e+00,5.948398590087890625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.980952380952381020e+00,2.842490842490850156e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.936814308166503906e-02,9.899290455481768447e-02,-1.367589837491411942e-01,3.433119496940102877e+00,-5.149679245410154316e+00,9.212634470130431907e-02,-1.264591439688711461e-01,4.576947073473265348e+00,-7.246832866332669987e+00,5.948398590087890625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.834432234432234132e+00,2.959706959706966956e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.136823654174804688e-02,1.081483176928355050e-01,-1.497291523613331066e-01,4.577492662586803540e+00,-6.484781271997971608e+00,9.899290455481768447e-02,-1.367589837491411942e-01,3.433119496940102877e+00,-5.149679245410154316e+00,5.948398590087890625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.512087912087912045e+00,3.076923076923083755e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.336833000183105469e-02,1.176852063782707347e-01,-1.634622720683598374e-01,4.768221523527920169e+00,-6.866238993880205754e+00,1.081483176928355050e-01,-1.497291523613331066e-01,4.577492662586803540e+00,-6.484781271997971608e+00,5.948398590087890625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.934065934065934300e+00,2.901098901098908556e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.536842346191406250e-02,1.272220950637059644e-01,-1.783398184176387957e-01,4.768221523527920169e+00,-7.438425576703556530e+00,1.176852063782707347e-01,-1.634622720683598374e-01,4.768221523527920169e+00,-6.866238993880205754e+00,5.947303771972656250e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.611721611721611325e+00,2.666666666666674956e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.736851692199707031e-02,1.394293125810630585e-01,-1.962691691462570276e-01,6.103323550115738350e+00,-8.964256464232491339e+00,1.272220950637059644e-01,-1.783398184176387957e-01,4.768221523527920169e+00,-7.438425576703556530e+00,5.947303771972656250e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.728937728937729013e+00,2.901098901098908556e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.936861038208007812e-02,1.478217746242460606e-01,-2.096208133058663492e-01,4.196034940704570282e+00,-6.675510132939089125e+00,1.394293125810630585e-01,-1.962691691462570276e-01,6.103323550115738350e+00,-8.964256464232491339e+00,5.947303771972656250e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.869597069597069172e+00,3.135531135531142155e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.136870384216308594e-02,1.588845654993509271e-01,-2.248798352025627167e-01,5.531136967292387574e+00,-7.629154437644673159e+00,1.478217746242460606e-01,-2.096208133058663492e-01,4.196034940704570282e+00,-6.675510132939089125e+00,5.947303771972656250e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.523809523809523725e+00,2.666666666666674956e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.336879730224609375e-02,1.703288319218732028e-01,-2.416647592889287210e-01,5.721865828233505091e+00,-8.392069881409140564e+00,1.588845654993509271e-01,-2.248798352025627167e-01,5.531136967292387574e+00,-7.629154437644673159e+00,5.947303771972656250e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.939926739926740140e+00,2.783882783882791756e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.536889076232910156e-02,1.817730983443954784e-01,-2.592126344701313201e-01,5.721865828233505091e+00,-8.773527603292262000e+00,1.703288319218732028e-01,-2.416647592889287210e-01,5.721865828233505091e+00,-8.392069881409140564e+00,5.911087989807128906e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.553113553113552925e+00,3.487179487179492554e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.736898422241210938e-02,1.966506446936744368e-01,-2.805752651255062347e-01,7.438425576703556530e+00,-1.068081621270254189e+01,1.817730983443954784e-01,-2.592126344701313201e-01,5.721865828233505091e+00,-8.773527603292262000e+00,5.911087989807128906e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.863736263736263332e+00,2.901098901098908556e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.936931610107421875e-02,2.065690089265270757e-01,-2.962157625696200114e-01,4.958359329596037313e+00,-7.818951250516828821e+00,1.966506446936744368e-01,-2.805752651255062347e-01,7.438425576703556530e+00,-1.068081621270254189e+01,5.911087989807128906e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.641025641025641413e+00,4.014652014652018153e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.136940956115722656e-02,2.191577019913015789e-01,-3.149080643930730616e-01,6.294052411056854979e+00,-9.345714186114724598e+00,2.065690089265270757e-01,-2.962157625696200114e-01,4.958359329596037313e+00,-7.818951250516828821e+00,5.911087989807128906e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.904761904761905100e+00,2.959706959706966956e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.336950302124023438e-02,2.321278706034934913e-01,-3.328374151216912935e-01,6.484781271997971608e+00,-8.964256464232491339e+00,2.191577019913015789e-01,-3.149080643930730616e-01,6.294052411056854979e+00,-9.345714186114724598e+00,5.911087989807128906e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.558974358974358765e+00,2.666666666666674956e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.536959648132324219e-02,2.458609903105202221e-01,-3.526741435873965713e-01,6.866238993880205754e+00,-9.917900768938075373e+00,2.321278706034934913e-01,-3.328374151216912935e-01,6.484781271997971608e+00,-8.964256464232491339e+00,5.878350257873535156e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.775824175824175732e+00,3.252747252747258955e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.736968994140625000e-02,2.626459143968880028e-01,-3.767071030746933502e-01,8.392069881410028742e+00,-1.201591823929035918e+01,2.458609903105202221e-01,-3.526741435873965713e-01,6.866238993880205754e+00,-9.917900768938075373e+00,5.878350257873535156e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.641025641025641413e+00,2.021978021978014795e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.937002182006835938e-02,2.744716563668276876e-01,-3.934920271610593545e-01,5.911889969902968112e+00,-8.391069634700986768e+00,2.626459143968880028e-01,-3.767071030746933502e-01,8.392069881410028742e+00,-1.201591823929035918e+01,5.878350257873535156e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.787545787545787412e+00,2.197802197802189994e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.137011528015136719e-02,2.889677271686892368e-01,-4.137102311741820415e-01,7.247696715762439013e+00,-1.010862962987919111e+01,2.744716563668276876e-01,-3.934920271610593545e-01,5.911889969902968112e+00,-8.391069634700986768e+00,5.878350257873535156e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.717216117216117333e+00,1.728937728937722795e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.337020874023437500e-02,3.038452735179681952e-01,-4.358358129243917745e-01,7.438425576703556530e+00,-1.106227393458477515e+01,2.889677271686892368e-01,-4.137102311741820415e-01,7.247696715762439013e+00,-1.010862962987919111e+01,5.878350257873535156e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.652747252747253093e+00,1.611721611721605996e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.537054061889648438e-02,3.187228198672471535e-01,-4.575799191271840982e-01,7.437538994394055969e+00,-1.087024929949900454e+01,3.038452735179681952e-01,-4.358358129243917745e-01,7.438425576703556530e+00,-1.106227393458477515e+01,5.861267566680908203e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.916483516483516780e+00,1.728937728937722795e-01,0.000000000000000000e+00,0.000000000000000000e+00
