time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,3.109025711451884888e-02,-2.498664835584030186e-02,-2.747252747252915128e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.939261913299560547e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.214307785034179688e-03,2.841992828259698456e-02,-2.498664835584030186e-02,-3.701434581792261147e-01,0.000000000000000000e+00,3.109025711451884888e-02,-2.498664835584030186e-02,-2.747252747252915128e-02,-5.494505494507251342e-03,5.709343673272806896e+00,0.000000000000000000e+00,-2.299182400267533177e-01,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.214401245117187500e-03,2.994583047226662131e-02,-2.498664835584030186e-02,7.629154437644672937e-01,0.000000000000000000e+00,2.841992828259698456e-02,-2.498664835584030186e-02,-3.701434581792261147e-01,0.000000000000000000e+00,6.173609843682865694e+00,0.000000000000000000e+00,2.343479303833050087e-01,0.000000000000000000e+00,2.652014652014651475e+00,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.121449470520019531e-02,3.223468375677107645e-02,-2.498664835584030186e-02,1.144373165646700885e+00,0.000000000000000000e+00,2.994583047226662131e-02,-2.498664835584030186e-02,7.629154437644672937e-01,0.000000000000000000e+00,6.185624054596052801e+00,0.000000000000000000e+00,2.463621412964921986e-01,0.000000000000000000e+00,3.437362637362637585e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.321458816528320312e-02,3.528648813611034996e-02,-2.574959945067512024e-02,1.525830887528934587e+00,-3.814577218822336468e-01,3.223468375677107645e-02,-2.498664835584030186e-02,1.144373165646700885e+00,0.000000000000000000e+00,6.188218045137444889e+00,-1.729318789122232802e-01,2.489561318378847865e-01,-1.729318789122232802e-01,4.920146520146520430e+00,9.084249084249051975e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.521468162536621094e-02,3.681239032577998671e-02,-2.765697718776216618e-02,7.629154437644672937e-01,-9.536443047055841449e-01,3.528648813611034996e-02,-2.574959945067512024e-02,1.525830887528934587e+00,-3.814577218822336468e-01,6.240602555467143375e+00,-1.839834210222612010e-01,2.492113735213427883e-01,-1.839834210222612010e-01,5.406593406593406925e+00,1.846153846153839595e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.721501350402832031e-02,3.948271915770185103e-02,-3.070878156710143969e-02,1.334942896429702319e+00,-1.525649024491088523e+00,3.681239032577998671e-02,-2.765697718776216618e-02,7.629154437644672937e-01,-9.536443047055841449e-01,6.241295722476793095e+00,-1.866333906627705153e-01,2.499045405309921475e-01,-1.866333906627705153e-01,6.068864468864468620e+00,2.139194139194131594e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.921510696411132812e-02,4.024567025253666941e-02,-3.376058594644071320e-02,3.814577218822336468e-01,-1.525830887528934587e+00,3.948271915770185103e-02,-3.070878156710143969e-02,1.334942896429702319e+00,-1.525649024491088523e+00,6.240992113501918404e+00,-1.875168740292822156e-01,2.496009315561174002e-01,-1.875168740292822156e-01,6.121611721611721180e+00,2.901098901098908556e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.121520042419433594e-02,4.291599908445853373e-02,-3.795681696803221428e-02,1.335102026587817736e+00,-2.098017470352285141e+00,4.024567025253666941e-02,-3.376058594644071320e-02,3.814577218822336468e-01,-1.525830887528934587e+00,6.241523997952377556e+00,-1.882688512454885610e-01,2.501328160065764972e-01,-1.882688512454885610e-01,5.852014652014651652e+00,2.490842490842481993e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.321529388427734375e-02,4.558632791638039805e-02,-4.253452353704112454e-02,1.335102026587817736e+00,-2.288746331293401770e+00,4.291599908445853373e-02,-3.795681696803221428e-02,1.335102026587817736e+00,-2.098017470352285141e+00,6.241865237428370072e+00,-1.887821946978874565e-01,2.504740554825692911e-01,-1.887821946978874565e-01,5.758241758241758212e+00,2.549450549450558157e-01,0.000000000000000000e+00,0.000000000000000000e+00
