time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,5.722133211261137831e-04,1.907377737087045944e-04,-6.043956043956200119e-02,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.994418144226074219e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.067991256713867188e-03,5.722133211261137831e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.722133211261137831e-04,1.907377737087045944e-04,-6.043956043956200119e-02,5.494505494507251342e-03,2.994418144226074219e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.106810569763183594e-02,5.722133211261137831e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.722133211261137831e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.994418144226074219e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.600732600732602151e-01,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.606822013854980469e-02,2.479591058213159727e-03,9.536888685435229718e-04,3.814668163348819974e-01,1.525867265339528045e-01,5.722133211261137831e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.224969045627125386e+00,1.505273311080397025e-01,2.305509014010511948e-01,1.505273311080397025e-01,2.282783882783883556e+00,-4.395604395604379988e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.106833457946777344e-02,4.386968795300205670e-03,3.242542153047978104e-03,3.814668163348819974e-01,4.577601796018583857e-01,2.479591058213159727e-03,9.536888685435229718e-04,3.814668163348819974e-01,1.525867265339528045e-01,3.235308196498513311e+00,1.782891917911844371e-01,2.398343348041775125e-01,1.782891917911844371e-01,2.769230769230770051e+00,-1.084249084249080397e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.606844902038574219e-02,8.201724269474297557e-03,8.583199816891706746e-03,7.629336326697639947e-01,1.068107085737669548e+00,4.386968795300205670e-03,3.242542153047978104e-03,3.814668163348819974e-01,4.577601796018583857e-01,3.240970252260561235e+00,1.848868192235439967e-01,2.454963905662254087e-01,1.848868192235439967e-01,2.874725274725275170e+00,-1.435897435897430796e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.106856346130371094e-02,1.201647974364838944e-02,1.583123521782248133e-02,7.629336326697639947e-01,1.449573902072551546e+00,8.201724269474297557e-03,8.583199816891706746e-03,7.629336326697639947e-01,1.068107085737669548e+00,3.244516957574854921e+00,1.867879859542146137e-01,2.472778447208512365e-01,1.867879859542146137e-01,3.003663003663003650e+00,-1.728937728937722795e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.606867790222167969e-02,1.850156404974434565e-02,2.536812390325771105e-02,1.296987175538598880e+00,1.907334081674409987e+00,1.201647974364838944e-02,1.583123521782248133e-02,7.629336326697639947e-01,1.449573902072551546e+00,3.246204194712327684e+00,1.878227122969161056e-01,2.489650818583238057e-01,1.878227122969161056e-01,2.898168498168498530e+00,-1.611721611721605996e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.106879234313964844e-02,2.574959945067512024e-02,3.528648813611034996e-02,1.449573902072551546e+00,1.983627444941386431e+00,1.850156404974434565e-02,2.536812390325771105e-02,1.296987175538598880e+00,1.907334081674409987e+00,3.248588314202298211e+00,1.883908374823339005e-01,2.498636151819126350e-01,1.883908374823339005e-01,2.728205128205127394e+00,-1.377289377289372396e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.606890678405761719e-02,3.452353704127553158e-02,4.863813229571967156e-02,1.754747355140457099e+00,2.670267714344173982e+00,2.574959945067512024e-02,3.528648813611034996e-02,1.449573902072551546e+00,1.983627444941386431e+00,3.249274585602312637e+00,1.889888558795421725e-01,2.505498865819267285e-01,1.889888558795421725e-01,2.898168498168498530e+00,-1.142857142857138797e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.106902122497558594e-02,4.367895017929335211e-02,6.198977645532899317e-02,1.831040718407433543e+00,2.670267714344173982e+00,3.452353704127553158e-02,4.863813229571967156e-02,1.754747355140457099e+00,2.670267714344173982e+00,3.250447596935714500e+00,1.893888785846870593e-01,2.510047811550750185e-01,1.893888785846870593e-01,2.933333333333333570e+00,-1.611721611721605996e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.606913566589355469e-02,5.512321660181562777e-02,7.915617608911240666e-02,2.288800898009291984e+00,3.433201347013937976e+00,4.367895017929335211e-02,6.198977645532899317e-02,1.831040718407433543e+00,2.670267714344173982e+00,3.250932845902990032e+00,1.898830290849792823e-01,2.514900301223502166e-01,1.898830290849792823e-01,2.780952380952381731e+00,-1.553113553113547596e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.106925010681152344e-02,6.618600747692049424e-02,9.555962462806100177e-02,2.212507534742315762e+00,3.280614620479985089e+00,5.512321660181562777e-02,7.915617608911240666e-02,2.288800898009291984e+00,3.433201347013937976e+00,3.251554957818115099e+00,1.902102715973116032e-01,2.517974295130613327e-01,1.902102715973116032e-01,3.044688644688644530e+00,-1.260073260073255597e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.606936454772949219e-02,8.068207827878204341e-02,1.165407797360185072e-01,2.899147804145103091e+00,4.196134979683701971e+00,6.618600747692049424e-02,9.555962462806100177e-02,2.212507534742315762e+00,3.280614620479985089e+00,3.251991688993670859e+00,1.906786256502790433e-01,2.522341606886170373e-01,1.906786256502790433e-01,2.804395604395605091e+00,-1.435897435897430796e-01,0.000000000000000000e+00,0.000000000000000000e+00
