time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.116079330444335938e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.116172790527343750e-03,5.722133211261137831e-04,1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.210344282870485344e+00,0.000000000000000000e+00,2.103442828704852330e-01,0.000000000000000000e+00,1.169230769230768630e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.111650466918945312e-02,9.536888685435229718e-04,1.907377737087045944e-04,1.907061280613860654e-01,0.000000000000000000e+00,5.722133211261137831e-04,1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,3.228254827615098854e+00,0.000000000000000000e+00,2.282548276150986599e-01,0.000000000000000000e+00,1.690842490842490164e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.311659812927246094e-02,2.098115510795750538e-03,-1.907377737087045944e-04,5.721865828233504425e-01,-1.907288609411168234e-01,9.536888685435229718e-04,1.907377737087045944e-04,1.907061280613860654e-01,0.000000000000000000e+00,3.242060600555226380e+00,-1.577677485959109727e-01,2.420606005552265461e-01,-1.577677485959109727e-01,2.364835164835165315e+00,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.511669158935546875e-02,3.242542153047978104e-03,-5.722133211261137831e-04,5.721865828233504425e-01,-1.907288609411168234e-01,2.098115510795750538e-03,-1.907377737087045944e-04,5.721865828233504425e-01,-1.907288609411168234e-01,3.220302320056667167e+00,-1.712094230073397949e-01,2.451789146001241704e-01,-1.712094230073397949e-01,2.716483516483515714e+00,1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.711678504943847656e-02,4.005493247882796481e-03,-9.536888685435229718e-04,3.814577218822336468e-01,-1.907288609411168234e-01,3.242542153047978104e-03,-5.722133211261137831e-04,5.721865828233504425e-01,-1.907288609411168234e-01,3.220937391456805798e+00,-1.757451684780561296e-01,2.458139860002627186e-01,-1.757451684780561296e-01,2.962637362637362770e+00,-4.395604395604379988e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.911687850952148438e-02,5.149919890135024048e-03,-1.335164415960932160e-03,5.721865828233504425e-01,-1.907288609411168234e-01,4.005493247882796481e-03,-9.536888685435229718e-04,3.814577218822336468e-01,-1.907288609411168234e-01,3.222017581210954607e+00,-1.779794519798628127e-01,2.468941757544116655e-01,-1.779794519798628127e-01,3.003663003663003650e+00,-3.809523809523795990e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.111697196960449219e-02,7.057297627222069991e-03,-3.242542153047978104e-03,9.536443047055841449e-01,-9.536443047055841449e-01,5.149919890135024048e-03,-1.335164415960932160e-03,5.721865828233504425e-01,-1.907288609411168234e-01,3.223425119025621566e+00,-1.845048856302233808e-01,2.483017135690787358e-01,-1.845048856302233808e-01,3.103296703296702930e+00,8.498168498168467977e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.311706542968750000e-02,8.201724269474297557e-03,-5.912870984969842425e-03,5.721865828233504425e-01,-1.335102026587817736e+00,7.057297627222069991e-03,-3.242542153047978104e-03,9.536443047055841449e-01,-9.536443047055841449e-01,3.223611363347914871e+00,-1.865469134270877349e-01,2.484879578913720688e-01,-1.865469134270877349e-01,3.284981684981685746e+00,8.498168498168467977e-02,0.000000000000000000e+00,0.000000000000000000e+00
