time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,5.722133211261137831e-04,5.494505494507251342e-03,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.930484771728515625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.941152572631835938e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-6.420901378205501331e-02,1.907377737087045944e-04,5.722133211261137831e-04,5.494505494507251342e-03,5.494505494507251342e-03,5.930484771728515625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.941246032714843750e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-6.420901378205501331e-02,5.930484771728515625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.468131868131868245e+00,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.941339492797851562e-03,1.335164415960932160e-03,1.907377737087045944e-04,5.721865828233504425e-01,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.930484771728515625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.408058608058608385e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.194143295288085938e-02,3.242542153047978104e-03,9.536888685435229718e-04,9.536443047055841449e-01,3.814577218822336468e-01,1.335164415960932160e-03,1.907377737087045944e-04,5.721865828233504425e-01,0.000000000000000000e+00,5.930484771728515625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.498168498168498175e+00,-6.153846153846131983e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.394152641296386719e-02,5.149919890135024048e-03,2.098115510795750538e-03,9.536443047055841449e-01,5.721865828233504425e-01,3.242542153047978104e-03,9.536888685435229718e-04,9.536443047055841449e-01,3.814577218822336468e-01,5.909990787506103516e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.084249084249083950e+00,-1.260073260073255597e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.594161987304687500e-02,7.057297627222069991e-03,4.386968795300205670e-03,9.536443047055841449e-01,1.144373165646700885e+00,5.149919890135024048e-03,2.098115510795750538e-03,9.536443047055841449e-01,5.721865828233504425e-01,5.909990787506103516e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.553113553113552925e+00,-1.787545787545781195e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.794171333312988281e-02,8.583199816891706746e-03,6.675822079804660802e-03,7.629154437644672937e-01,1.144373165646700885e+00,7.057297627222069991e-03,4.386968795300205670e-03,9.536443047055841449e-01,1.144373165646700885e+00,5.909990787506103516e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.605860805860805485e+00,-2.256410256410248394e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.994180679321289062e-02,1.087205310139616188e-02,1.010910200656134350e-02,1.144373165646700885e+00,1.716559748470051439e+00,8.583199816891706746e-03,6.675822079804660802e-03,7.629154437644672937e-01,1.144373165646700885e+00,5.909990787506103516e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.471062271062271165e+00,-2.373626373626365194e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.194190025329589844e-02,1.354238193331802620e-02,1.468680857557025377e-02,1.335102026587817736e+00,2.288746331293401770e+00,1.087205310139616188e-02,1.010910200656134350e-02,1.144373165646700885e+00,1.716559748470051439e+00,5.909990787506103516e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.424175824175824445e+00,-2.783882783882791756e-01,0.000000000000000000e+00,0.000000000000000000e+00
