time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,7.142857142857295116e-02,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.965245246887207031e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.883621215820312500e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,7.142857142857295116e-02,5.494505494507251342e-03,2.963072061538696289e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.194612503051757812e-03,9.536888685435229718e-04,1.907377737087045944e-04,3.301401866161207121e-01,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.225973644933215034e+00,0.000000000000000000e+00,2.273440749258907878e-01,0.000000000000000000e+00,1.345054945054945605e+00,1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.119470596313476562e-02,2.098115510795750538e-03,1.907377737087045944e-04,5.721865828233504425e-01,0.000000000000000000e+00,9.536888685435229718e-04,1.907377737087045944e-04,3.301401866161207121e-01,0.000000000000000000e+00,3.241871421251415697e+00,0.000000000000000000e+00,2.419400858021967249e-01,0.000000000000000000e+00,1.655677655677655125e+00,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.319479942321777344e-02,5.149919890135024048e-03,1.907377737087045944e-04,1.525830887528934587e+00,0.000000000000000000e+00,2.098115510795750538e-03,1.907377737087045944e-04,5.721865828233504425e-01,0.000000000000000000e+00,3.248109755791349862e+00,0.000000000000000000e+00,2.481221535574629766e-01,0.000000000000000000e+00,1.942857142857143060e+00,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.519489288330078125e-02,7.438773174639479180e-03,5.722133211261137831e-04,1.144373165646700885e+00,1.907288609411168234e-01,5.149919890135024048e-03,1.907377737087045944e-04,1.525830887528934587e+00,0.000000000000000000e+00,3.249146036695947259e+00,1.577677485959109727e-01,2.491493745560548201e-01,1.577677485959109727e-01,2.558241758241758035e+00,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.719498634338378906e-02,8.583199816891706746e-03,5.722133211261137831e-04,5.721865828233504425e-01,0.000000000000000000e+00,7.438773174639479180e-03,5.722133211261137831e-04,1.144373165646700885e+00,1.907288609411168234e-01,3.249139585435612876e+00,1.505264837993047500e-01,2.491403006913500140e-01,1.505264837993047500e-01,2.839560439560440130e+00,-1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.919507980346679688e-02,1.010910200656134350e-02,9.536888685435229718e-04,7.629154437644672937e-01,1.907288609411168234e-01,8.583199816891706746e-03,5.722133211261137831e-04,5.721865828233504425e-01,0.000000000000000000e+00,3.249342935694408574e+00,1.695371628037764811e-01,2.493429356944086572e-01,1.695371628037764811e-01,2.927472527472527730e+00,-2.051282051282043994e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.119517326354980469e-02,1.125352864881357107e-02,2.098115510795750538e-03,5.721865828233504425e-01,5.721865828233504425e-01,1.010910200656134350e-02,9.536888685435229718e-04,7.629154437644672937e-01,1.907288609411168234e-01,3.249297300232820263e+00,1.813734951914438009e-01,2.492973002328203735e-01,1.813734951914438009e-01,2.974358974358974450e+00,-1.846153846153839595e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.319526672363281250e-02,1.316090638590061701e-02,5.149919890135024048e-03,9.536443047055841449e-01,1.525830887528934587e+00,1.125352864881357107e-02,2.098115510795750538e-03,5.721865828233504425e-01,5.721865828233504425e-01,3.249637233271911896e+00,1.861852498740395601e-01,2.496372332719118403e-01,1.861852498740395601e-01,3.003663003663003650e+00,-2.608058608058616556e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.519559860229492188e-02,1.468680857557025377e-02,8.201724269474297557e-03,7.628245122455442617e-01,1.525649024491088523e+00,1.316090638590061701e-02,5.149919890135024048e-03,9.536443047055841449e-01,1.525830887528934587e+00,3.249713743991140547e+00,1.873168661366785281e-01,2.497137439911406021e-01,1.873168661366785281e-01,2.980219780219780290e+00,-1.611721611721605996e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.719569206237792969e-02,1.659418631265729971e-02,1.049057755397875269e-02,9.536443047055841449e-01,1.144373165646700885e+00,1.468680857557025377e-02,8.201724269474297557e-03,7.628245122455442617e-01,1.525649024491088523e+00,3.249926805731682578e+00,1.876534715945168130e-01,2.499268057316826330e-01,1.876534715945168130e-01,2.980219780219780290e+00,-9.670329670329635974e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.919578552246093750e-02,1.812008850232693646e-02,1.354238193331802620e-02,7.629154437644672937e-01,1.525830887528934587e+00,1.659418631265729971e-02,1.049057755397875269e-02,9.536443047055841449e-01,1.144373165646700885e+00,3.249940272891422843e+00,1.880799801581791719e-01,2.499402728914227600e-01,1.880799801581791719e-01,2.997802197802197810e+00,-1.318681318681313996e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.119587898254394531e-02,2.040894178683139160e-02,1.735713740749211809e-02,1.144373165646700885e+00,1.907288609411168290e+00,1.812008850232693646e-02,1.354238193331802620e-02,7.629154437644672937e-01,1.525830887528934587e+00,3.250223329190172983e+00,1.885189563589853567e-01,2.502233291901727608e-01,1.885189563589853567e-01,3.003663003663003650e+00,-1.728937728937722795e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.319597244262695312e-02,2.269779507133584673e-02,2.117189288166620997e-02,1.144373165646700885e+00,1.907288609411168290e+00,2.040894178683139160e-02,1.735713740749211809e-02,1.144373165646700885e+00,1.907288609411168290e+00,3.250423717955156278e+00,1.888158279217078961e-01,2.504237179551561665e-01,1.888158279217078961e-01,3.015384615384615330e+00,-1.260073260073255597e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.519606590270996094e-02,2.498664835584030186e-02,2.498664835584030186e-02,1.144373165646700885e+00,1.907288609411168290e+00,2.269779507133584673e-02,2.117189288166620997e-02,1.144373165646700885e+00,1.907288609411168290e+00,3.250570768432267332e+00,1.890307247205589569e-01,2.505707684322673323e-01,1.890307247205589569e-01,2.845421245421245970e+00,-5.567765567765547985e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.719615936279296875e-02,2.803845273517957537e-02,2.880140383001439375e-02,1.525830887528934587e+00,1.907288609411168290e+00,2.498664835584030186e-02,2.498664835584030186e-02,1.144373165646700885e+00,1.907288609411168290e+00,3.250874896139387626e+00,1.891919485790014011e-01,2.508748961393875154e-01,1.891919485790014011e-01,2.827838827838828450e+00,-1.084249084249080397e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.919625282287597656e-02,3.109025711451884888e-02,3.337911039902330401e-02,1.525830887528934587e+00,2.288746331293401770e+00,2.803845273517957537e-02,2.880140383001439375e-02,1.525830887528934587e+00,1.907288609411168290e+00,3.251090378860316488e+00,1.894267294788454514e-01,2.510908556974746353e-01,1.894267294788454514e-01,2.757509157509158371e+00,-1.142857142857138797e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.119634628295898438e-02,3.452353704127553158e-02,3.757534142061480509e-02,1.716559748470051439e+00,2.098017470352285141e+00,3.109025711451884888e-02,3.337911039902330401e-02,1.525830887528934587e+00,2.288746331293401770e+00,3.251327179328974193e+00,1.895519001494397615e-01,2.513276561661325625e-01,1.895519001494397615e-01,2.669597069597068995e+00,-1.260073260073255597e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.319643974304199219e-02,3.795681696803221428e-02,4.215304798962371535e-02,1.716559748470051439e+00,2.288746331293401770e+00,3.452353704127553158e-02,3.757534142061480509e-02,1.716559748470051439e+00,2.098017470352285141e+00,3.251501758489528271e+00,1.897012134755223511e-01,2.515022353266864741e-01,1.897012134755223511e-01,2.821978021978022610e+00,-1.553113553113547596e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.519653320312500000e-02,4.177157244220630616e-02,4.749370565346744399e-02,1.907288609411168290e+00,2.670204053175635472e+00,3.795681696803221428e-02,4.215304798962371535e-02,1.716559748470051439e+00,2.288746331293401770e+00,3.251701058668248212e+00,1.899170861631183094e-01,2.517015355054065262e-01,1.899170861631183094e-01,2.945054945054945250e+00,-1.670329670329664395e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.719686508178710938e-02,4.520485236896298886e-02,5.321583886472858183e-02,1.716355152552474506e+00,2.860591920920791065e+00,4.177157244220630616e-02,4.749370565346744399e-02,1.907288609411168290e+00,2.670204053175635472e+00,3.251787282284438696e+00,1.901318493723895275e-01,2.517877591215968991e-01,1.901318493723895275e-01,3.021245421245421170e+00,-1.787545787545781195e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.919695854187011719e-02,4.940108339055448994e-02,5.893797207598971966e-02,2.098017470352285141e+00,2.860932914116752546e+00,4.520485236896298886e-02,5.321583886472858183e-02,1.716355152552474506e+00,2.860591920920791065e+00,3.251978767079706234e+00,1.902989287222234538e-01,2.519794823354434277e-01,1.902989287222234538e-01,2.974358974358974450e+00,-1.435897435897430796e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.119705200195312500e-02,5.359731441214599101e-02,6.504158083466826668e-02,2.098017470352285141e+00,3.051661775057869175e+00,4.940108339055448994e-02,5.893797207598971966e-02,2.098017470352285141e+00,2.860932914116752546e+00,3.252124829840890463e+00,1.904758177546512776e-01,2.521255450966277678e-01,1.904758177546512776e-01,2.968498168498168610e+00,-1.084249084249080397e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.319714546203613281e-02,5.779354543373749209e-02,7.152666514076422288e-02,2.098017470352285141e+00,3.242390635998985804e+00,5.359731441214599101e-02,6.504158083466826668e-02,2.098017470352285141e+00,3.051661775057869175e+00,3.252237736912869437e+00,1.906597334894655771e-01,2.522384521686067971e-01,1.906597334894655771e-01,2.816117216117216770e+00,-1.142857142857138797e-01,0.000000000000000000e+00,0.000000000000000000e+00
