time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,5.722133211261137831e-04,5.494505494507251342e-03,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.994426727294921875e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.839513778686523438e-03,-1.907377737087045944e-04,1.907377737087045944e-04,-5.577524364468327417e-02,-5.577524364468327417e-02,1.907377737087045944e-04,5.722133211261137831e-04,5.494505494507251342e-03,5.494505494507251342e-03,-2.850197553634643555e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.943557739257812500e-03,9.536888685435229718e-04,1.907377737087045944e-04,5.439176479665821518e-01,0.000000000000000000e+00,-1.907377737087045944e-04,1.907377737087045944e-04,-5.577524364468327417e-02,-5.577524364468327417e-02,3.231830466714421757e+00,0.000000000000000000e+00,2.367693075805107628e-01,0.000000000000000000e+00,1.286446886446887206e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.094365119934082031e-02,1.716639963378341349e-03,5.722133211261137831e-04,3.814577218822336468e-01,1.907288609411168234e-01,9.536888685435229718e-04,1.907377737087045944e-04,5.439176479665821518e-01,0.000000000000000000e+00,3.237142083498836698e+00,1.577677485959109727e-01,2.417061303585777698e-01,1.577677485959109727e-01,-1.553113553113547596e-01,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.294374465942382812e-02,2.861066605630568915e-03,1.907377737087045944e-04,5.721865828233504425e-01,-1.907288609411168234e-01,1.716639963378341349e-03,5.722133211261137831e-04,3.814577218822336468e-01,1.907288609411168234e-01,3.240787184220242700e+00,-7.821353476733630683e-02,2.450479626473668626e-01,-7.821353476733630683e-02,1.063736263736263510e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.494383811950683594e-02,4.768444342717614859e-03,1.907377737087045944e-04,9.536443047055841449e-01,0.000000000000000000e+00,2.861066605630568915e-03,1.907377737087045944e-04,5.721865828233504425e-01,-1.907288609411168234e-01,3.243940151785696724e+00,-6.576396750758985166e-02,2.475786577213654749e-01,-6.576396750758985166e-02,1.585347985347985045e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.694393157958984375e-02,7.057297627222069991e-03,5.722133211261137831e-04,1.144373165646700885e+00,1.907288609411168234e-01,4.768444342717614859e-03,1.907377737087045944e-04,9.536443047055841449e-01,0.000000000000000000e+00,3.245875939779109487e+00,1.534842965073894283e-01,2.488938421533768985e-01,1.534842965073894283e-01,2.306227106227106916e+00,-1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.894402503967285156e-02,8.964675364309115935e-03,5.722133211261137831e-04,9.536443047055841449e-01,0.000000000000000000e+00,7.057297627222069991e-03,5.722133211261137831e-04,1.144373165646700885e+00,1.907288609411168234e-01,3.246610363523066312e+00,1.453864258280762045e-01,2.493741116920116241e-01,1.453864258280762045e-01,2.704761904761904034e+00,-1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.094411849975585938e-02,1.125352864881357107e-02,9.536888685435229718e-04,1.144373165646700885e+00,1.907288609411168234e-01,8.964675364309115935e-03,5.722133211261137831e-04,9.536443047055841449e-01,0.000000000000000000e+00,3.247425613920856158e+00,1.685519386303453160e-01,2.498496156145817715e-01,1.685519386303453160e-01,2.769230769230770051e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.294421195983886719e-02,1.354238193331802620e-02,1.716639963378341349e-03,1.144373165646700885e+00,3.814577218822336468e-01,1.125352864881357107e-02,9.536888685435229718e-04,1.144373165646700885e+00,1.907288609411168234e-01,3.248017171030400441e+00,1.789503671416391162e-01,2.501610308936816351e-01,1.789503671416391162e-01,2.845421245421245970e+00,-9.084249084249051975e-02,0.000000000000000000e+00,0.000000000000000000e+00
