time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,5.494505494507251342e-03,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,5.494505494507251342e-03,3.075119555576888430e+00,6.029604690846638443e-02,8.039289770945701186e-02,6.029604690846638443e-02,8.791208791208759976e-03,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.715059280395507812e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.994843006134033203e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.923530578613281250e-03,9.536888685435229718e-04,1.907377737087045944e-04,3.454657053729955907e-01,0.000000000000000000e+00,9.536888685435229718e-04,1.907377737087045944e-04,3.454657053729955907e-01,0.000000000000000000e+00,3.219842996387525247e+00,0.000000000000000000e+00,2.470427415657477366e-01,0.000000000000000000e+00,1.427106227106227365e+00,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.092362403869628906e-02,1.716639963378341349e-03,1.907377737087045944e-04,3.814577218822336468e-01,0.000000000000000000e+00,1.716639963378341349e-03,1.907377737087045944e-04,3.814577218822336468e-01,0.000000000000000000e+00,3.215130760456734293e+00,0.000000000000000000e+00,2.475153944746786294e-01,0.000000000000000000e+00,1.925274725274725540e+00,-1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.292371749877929688e-02,2.098115510795750538e-03,5.722133211261137831e-04,1.907288609411168234e-01,1.907288609411168234e-01,2.098115510795750538e-03,5.722133211261137831e-04,1.907288609411168234e-01,1.907288609411168234e-01,3.231906713038073864e+00,1.824003897423564502e-01,2.431369433694949012e-01,1.824003897423564502e-01,2.388278388278388675e+00,-4.981684981684963986e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.492381095886230469e-02,2.861066605630568915e-03,1.335164415960932160e-03,3.814577218822336468e-01,3.814577218822336468e-01,2.861066605630568915e-03,1.335164415960932160e-03,3.814577218822336468e-01,3.814577218822336468e-01,3.223193838383370036e+00,1.857319102864795068e-01,2.475153944746786294e-01,1.857319102864795068e-01,2.610989010989010595e+00,-5.567765567765547985e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.692390441894531250e-02,3.624017700465387293e-03,2.479591058213159727e-03,3.814577218822336468e-01,5.721865828233504425e-01,3.624017700465387293e-03,2.479591058213159727e-03,3.814577218822336468e-01,5.721865828233504425e-01,3.225969030644112223e+00,1.869707412847238515e-01,2.475153944746786294e-01,1.869707412847238515e-01,2.716483516483515714e+00,-7.326007326007299980e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.892399787902832031e-02,4.386968795300205670e-03,4.005493247882796481e-03,3.814577218822336468e-01,7.629154437644672937e-01,4.386968795300205670e-03,4.005493247882796481e-03,3.814577218822336468e-01,7.629154437644672937e-01,3.228448107029610270e+00,1.876856512314853676e-01,2.475153944746786294e-01,1.876856512314853676e-01,2.751648351648352531e+00,-9.670329670329635974e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.092409133911132812e-02,5.531395437552433236e-03,5.531395437552433236e-03,5.721865828233504425e-01,7.629154437644672937e-01,5.531395437552433236e-03,5.531395437552433236e-03,5.721865828233504425e-01,7.629154437644672937e-01,3.201168107012180464e+00,1.876856512314853676e-01,2.491035928520240472e-01,1.876856512314853676e-01,2.792673992673993411e+00,-1.025641025641021997e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.292418479919433594e-02,7.057297627222069991e-03,7.820248722056888369e-03,7.629154437644672937e-01,1.144373165646700885e+00,7.057297627222069991e-03,7.820248722056888369e-03,7.629154437644672937e-01,1.144373165646700885e+00,3.148851777038085942e+00,1.885913500710766910e-01,2.499932298273923603e-01,1.885913500710766910e-01,2.868864468864469330e+00,-1.318681318681313996e-01,0.000000000000000000e+00,0.000000000000000000e+00
