time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,-2.747252747252915128e-02,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.974389076232910156e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.887746810913085938e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,-2.747252747252915128e-02,5.494505494507251342e-03,4.974389076232910156e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.088786125183105469e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.974389076232910156e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.526739926739926645e+00,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.588797569274902344e-02,3.624017700465387293e-03,1.907377737087045944e-04,6.866402694027875508e-01,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.211884524776101202e+00,0.000000000000000000e+00,2.398343348041775125e-01,0.000000000000000000e+00,4.052747252747252560e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.088809013366699219e-02,7.820248722056888369e-03,4.386968795300205670e-03,8.392269959367404386e-01,8.392269959367404386e-01,3.624017700465387293e-03,1.907377737087045944e-04,6.866402694027875508e-01,0.000000000000000000e+00,5.215798741159844987e+00,1.815224095290022821e-01,2.458461578468571218e-01,1.815224095290022821e-01,4.586080586080585775e+00,-2.608058608058616556e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.588820457458496094e-02,1.354238193331802620e-02,1.277943083848320782e-02,1.144400449004645992e+00,1.678453991873480877e+00,7.820248722056888369e-03,4.386968795300205670e-03,8.392269959367404386e-01,8.392269959367404386e-01,5.215686642799970407e+00,1.864125414514461732e-01,2.482317325216501225e-01,1.864125414514461732e-01,4.832234432234431942e+00,-2.842490842490850156e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.088831901550292969e-02,2.079041733424880078e-02,2.498664835584030186e-02,1.449573902072551546e+00,2.441387624543244872e+00,1.354238193331802620e-02,1.277943083848320782e-02,1.144400449004645992e+00,1.678453991873480877e+00,5.213694887539186418e+00,1.879713872245698247e-01,2.495196632349870880e-01,1.879713872245698247e-01,5.037362637362637230e+00,-3.076923076923083755e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.588843345642089844e-02,2.994583047226662131e-02,3.986419470511926022e-02,1.831040718407433543e+00,2.975441167412079757e+00,2.079041733424880078e-02,2.498664835584030186e-02,1.449573902072551546e+00,2.441387624543244872e+00,5.209445951458514301e+00,1.888492960743167748e-01,2.504100780454284192e-01,1.888492960743167748e-01,4.738461538461538503e+00,-2.608058608058616556e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.088854789733886719e-02,4.215304798962371535e-02,5.703059433890267371e-02,2.441387624543244872e+00,3.433201347013937976e+00,2.994583047226662131e-02,3.986419470511926022e-02,1.831040718407433543e+00,2.975441167412079757e+00,5.199626993651068396e+00,1.895120294527948834e-01,2.511893029162052260e-01,1.895120294527948834e-01,4.709157509157509303e+00,-2.139194139194131594e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.588866233825683594e-02,5.588616769665044615e-02,7.763027389944276990e-02,2.746561077611150203e+00,4.119841616416725749e+00,4.215304798962371535e-02,5.703059433890267371e-02,2.441387624543244872e+00,3.433201347013937976e+00,5.185196597343404434e+00,1.901459061604812983e-01,2.517735550460410421e-01,1.901459061604812983e-01,4.797069597069596902e+00,-2.549450549450558157e-01,0.000000000000000000e+00,0.000000000000000000e+00
