time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.961155891418457031e+00,0.000000000000000000e+00
2.000000000000000042e-03,2.438356300684054617e-04,-3.739490457266061432e-04,2.399735965541907601e-01,-3.667885716245932737e-01,5.986045360565185547e+00,0.000000000000000000e+00
4.000000000000000083e-03,9.604814279629138134e-04,-1.467942220397807068e-03,4.766101329891142546e-01,-7.270920223301629015e-01,5.994755744934082031e+00,0.000000000000000000e+00
6.000000000000000125e-03,2.150465301078059895e-03,-3.282559347052998316e-03,7.133300438283873834e-01,-1.087445060518639872e+00,5.984581947326660156e+00,0.000000000000000000e+00
8.000000000000000167e-03,3.813183113318006391e-03,-5.816711898043842865e-03,9.493412803846159598e-01,-1.446621783455123822e+00,5.955707073211669922e+00,0.000000000000000000e+00
1.000000000000000021e-02,5.946376635675086966e-03,-9.066730433388103458e-03,1.183798320879028365e+00,-1.803296719185987218e+00,5.971187591552734375e+00,0.000000000000000000e+00
1.200000000000000025e-02,8.548814866155444309e-03,-1.303050706258350802e-02,1.418576467867966207e+00,-2.160361351738835367e+00,5.967020988464355469e+00,0.000000000000000000e+00
1.400000000000000029e-02,1.162022672029701560e-02,-1.770737926036261567e-02,1.652761136230776584e+00,-2.516370923447469377e+00,5.967610359191894531e+00,0.000000000000000000e+00
1.600000000000000033e-02,1.515956464728711317e-02,-2.309542401727984404e-02,1.886490587453217849e+00,-2.871509863243409288e+00,5.950394153594970703e+00,0.000000000000000000e+00
1.800000000000000211e-02,1.916507108702887596e-02,-2.919155032683225584e-02,2.118916652632369946e+00,-3.224425869199963213e+00,5.951365470886230469e+00,0.000000000000000000e+00
2.000000000000000389e-02,2.363484886452560385e-02,-3.599237303663165716e-02,2.350747752876168217e+00,-3.576176736252983712e+00,5.961223125457763672e+00,0.000000000000000000e+00
2.200000000000000566e-02,2.856800636167742061e-02,-4.349597729683415265e-02,2.582280943596635847e+00,-3.927174738593885550e+00,5.962203025817871094e+00,0.000000000000000000e+00
2.400000000000000744e-02,3.396346724480452106e-02,-5.170005674829701581e-02,2.813034462090542753e+00,-4.276616067275925914e+00,5.963434696197509766e+00,0.000000000000000000e+00
2.600000000000000921e-02,3.981958038633492958e-02,-6.060129305964948032e-02,3.042915196730545002e+00,-4.624292330824238739e+00,5.964571952819824219e+00,0.000000000000000000e+00
2.800000000000001099e-02,4.613448534305444881e-02,-7.019590705620835924e-02,3.271806901361711262e+00,-4.969950940747887458e+00,5.966283798217773438e+00,0.000000000000000000e+00
3.000000000000001277e-02,5.290610988389921054e-02,-8.047963784783188079e-02,3.499614000205391484e+00,-5.313362651202255371e+00,5.974596023559570312e+00,0.000000000000000000e+00
3.200000000000001454e-02,6.013244309217412320e-02,-9.144814831865689941e-02,3.726493292035920835e+00,-5.654680224076127359e+00,5.981717109680175781e+00,0.000000000000000000e+00
3.400000000000001632e-02,6.781144098436420187e-02,-1.030968596557475386e-01,3.952254981228799480e+00,-5.993509324651738801e+00,5.985247135162353516e+00,0.000000000000000000e+00
3.600000000000001810e-02,7.594056779506652699e-02,-1.154202211122556804e-01,4.176597171724928614e+00,-6.329272519955123855e+00,5.986531734466552734e+00,0.000000000000000000e+00
3.800000000000001987e-02,8.451673452442985679e-02,-1.284115962127701516e-01,4.399268606589211927e+00,-6.661461653618188983e+00,5.987730503082275391e+00,0.000000000000000000e+00
4.000000000000002165e-02,9.353643571495524889e-02,-1.420634562051058813e-01,4.620104167729452982e+00,-6.989692741252101271e+00,5.988783836364746094e+00,0.000000000000000000e+00
4.200000000000002343e-02,1.029958263426665882e-01,-1.563674807796741617e-01,4.838929551442323174e+00,-7.313558490008298385e+00,5.989615917205810547e+00,0.000000000000000000e+00
4.400000000000002520e-02,1.128907037049344669e-01,-1.713145122549927235e-01,5.055561565201912799e+00,-7.632629185291666118e+00,5.990402698516845703e+00,0.000000000000000000e+00
4.600000000000002698e-02,1.232165016354102027e-01,-1.868945297985709630e-01,5.269820150038420969e+00,-7.946471820104426875e+00,5.991143226623535156e+00,0.000000000000000000e+00
4.800000000000002875e-02,1.339682904979762612e-01,-2.030966338055310572e-01,5.481522146553415631e+00,-8.254641146881647629e+00,5.991836547851562500e+00,0.000000000000000000e+00
5.000000000000003053e-02,1.451407725648302671e-01,-2.199090246829092654e-01,5.690482907831172277e+00,-8.556683019354737851e+00,5.992486953735351562e+00,0.000000000000000000e+00
5.200000000000003231e-02,1.567282810422210293e-01,-2.373189891084810654e-01,5.896518330847106526e+00,-8.852138518262565370e+00,5.993097305297851562e+00,0.000000000000000000e+00
5.400000000000003408e-02,1.687247830486978961e-01,-2.553128945002173800e-01,6.099446773349275652e+00,-9.140548027549504795e+00,5.993140697479248047e+00,0.000000000000000000e+00
5.600000000000003586e-02,1.811238642261040199e-01,-2.738761577742953035e-01,6.299068792004827166e+00,-9.421421504554853499e+00,5.993121147155761719e+00,0.000000000000000000e+00
5.800000000000003764e-02,1.939187392226108808e-01,-2.929932566079290202e-01,6.495213194229512155e+00,-9.694310513130679041e+00,5.993169307708740234e+00,0.000000000000000000e+00
6.000000000000003941e-02,2.071022944408622002e-01,-3.126477927928039136e-01,6.687723302315480289e+00,-9.958788410350667419e+00,5.993073463439941406e+00,0.000000000000000000e+00
6.200000000000004119e-02,2.206671049371435600e-01,-3.328225187435870369e-01,6.876444839202203951e+00,-1.021443331583852476e+01,5.992986202239990234e+00,0.000000000000000000e+00
6.400000000000004297e-02,2.346054568318385325e-01,-3.534993753882840206e-01,7.061243504254359316e+00,-1.046085640298610464e+01,5.992917537689208984e+00,0.000000000000000000e+00
6.600000000000004474e-02,2.489093833784434828e-01,-3.746595537373512141e-01,7.242001074501532187e+00,-1.069769733628162633e+01,5.992840290069580078e+00,0.000000000000000000e+00
6.800000000000004652e-02,2.635706975822081355e-01,-3.962835539599546819e-01,7.418615839308412951e+00,-1.092462631017759023e+01,5.992682933807373047e+00,0.000000000000000000e+00
7.000000000000004829e-02,2.785810252403851939e-01,-4.183512478128136314e-01,7.591002580243542575e+00,-1.114134534836863644e+01,5.992788314819335938e+00,0.000000000000000000e+00
7.200000000000005007e-02,2.939318564249830401e-01,-4.408419712534511481e-01,7.759110987767192213e+00,-1.134761707341804104e+01,5.992900371551513672e+00,0.000000000000000000e+00
7.400000000000005185e-02,3.096145918952735165e-01,-4.637346113592448194e-01,7.922902249340455505e+00,-1.154323043810280325e+01,5.992966175079345703e+00,0.000000000000000000e+00
7.600000000000005362e-02,3.256205754822112941e-01,-4.870076740817176342e-01,8.082358367982225289e+00,-1.172801566384163507e+01,5.993070602416992188e+00,0.000000000000000000e+00
7.800000000000005540e-02,3.419411418546723924e-01,-5.106393765637642357e-01,8.237488224496885891e+00,-1.190185386213655683e+01,5.993246555328369141e+00,0.000000000000000000e+00
