time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-6.043956043956200119e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.877655744552612305e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.191066741943359375e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,2.877655744552612305e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.192113876342773438e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.877655744552612305e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.395604395604379988e-02,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.863210678100585938e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.877655744552612305e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.739926739926715982e-02,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.086425781250000000e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,1.906379619248217694e-01,1.335164415960932160e-03,-1.907377737087045944e-04,5.721865828233504425e-01,0.000000000000000000e+00,2.877655744552612305e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.468864468864474304e-01,-8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.286435127258300781e-02,5.722133211261137831e-04,-1.907377737087045944e-04,1.907288609411168234e-01,-1.907288609411168234e-01,3.242542153047978104e-03,-1.907377737087045944e-04,9.536443047055841449e-01,0.000000000000000000e+00,2.911306381225585938e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.415384615384615685e+00,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.486444473266601562e-02,1.335164415960932160e-03,-5.722133211261137831e-04,3.814577218822336468e-01,-1.907288609411168234e-01,6.675822079804660802e-03,-1.907377737087045944e-04,1.716559748470051439e+00,0.000000000000000000e+00,2.911306381225585938e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.065934065934065700e+00,1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.686453819274902344e-02,2.098115510795750538e-03,-5.722133211261137831e-04,3.814577218822336468e-01,0.000000000000000000e+00,7.438773174639479180e-03,-5.722133211261137831e-04,3.814577218822336468e-01,-1.907288609411168234e-01,2.911306381225585938e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.446886446886447075e+00,3.223443223443211991e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.886463165283203125e-02,3.242542153047978104e-03,-1.335164415960932160e-03,5.721865828233504425e-01,-3.814577218822336468e-01,8.583199816891706746e-03,-5.722133211261137831e-04,5.721865828233504425e-01,0.000000000000000000e+00,2.911306381225585938e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.675457875457874835e+00,3.223443223443211991e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.086472511291503906e-02,4.005493247882796481e-03,-1.335164415960932160e-03,3.814577218822336468e-01,0.000000000000000000e+00,1.010910200656134350e-02,-1.716639963378341349e-03,7.629154437644672937e-01,-5.721865828233504425e-01,2.911306381225585938e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.675457875457874835e+00,1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.286481857299804688e-02,5.149919890135024048e-03,-2.098115510795750538e-03,5.721865828233504425e-01,-3.814577218822336468e-01,1.087205310139616188e-02,-4.768444342717614859e-03,3.814122561227721309e-01,-1.525649024491088523e+00,2.925834655761718750e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.646153846153845635e+00,2.637362637362627993e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.486491203308105469e-02,6.675822079804660802e-03,-3.242542153047978104e-03,7.629154437644672937e-01,-5.721865828233504425e-01,1.277943083848320782e-02,-7.820248722056888369e-03,9.536443047055841449e-01,-1.525830887528934587e+00,2.925834655761718750e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.622710622710622275e+00,1.611721611721605996e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.686500549316406250e-02,8.201724269474297557e-03,-5.912870984969842425e-03,7.629154437644672937e-01,-1.335102026587817736e+00,1.468680857557025377e-02,-1.087205310139616188e-02,9.536443047055841449e-01,-1.525830887528934587e+00,2.925834655761718750e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.693040293040292354e+00,2.139194139194131594e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.886509895324707031e-02,9.346150911726525123e-03,-8.583199816891706746e-03,5.721865828233504425e-01,-1.335102026587817736e+00,1.621271076523989052e-02,-1.277943083848320782e-02,7.629154437644672937e-01,-9.536443047055841449e-01,2.925834655761718750e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.681318681318680675e+00,1.435897435897430796e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.086543083190917969e-02,1.087205310139616188e-02,-1.049057755397875269e-02,7.628245122455442617e-01,-9.535306403069302439e-01,1.850156404974434565e-02,-1.621271076523989052e-02,1.144236768368316337e+00,-1.716355152552474506e+00,2.925834655761718750e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.710622710622709874e+00,1.025641025641021997e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.286552429199218750e-02,1.277943083848320782e-02,-1.354238193331802620e-02,9.536443047055841449e-01,-1.525830887528934587e+00,2.040894178683139160e-02,-2.040894178683139160e-02,9.536443047055841449e-01,-2.098017470352285141e+00,2.931296348571777344e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.728205128205127394e+00,1.553113553113547596e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.486561775207519531e-02,1.544975967040507214e-02,-1.659418631265729971e-02,1.335102026587817736e+00,-1.525830887528934587e+00,2.307927061875325592e-02,-2.384222171358807429e-02,1.335102026587817736e+00,-1.716559748470051439e+00,2.931296348571777344e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.816117216117216770e+00,1.494505494505489196e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.686594963073730469e-02,1.735713740749211809e-02,-2.002746623941398241e-02,9.535306403069302439e-01,-1.716355152552474506e+00,2.651255054550993862e-02,-2.841992828259698456e-02,1.716559748470051439e+00,-2.288746331293401770e+00,2.931296348571777344e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798534798534799251e+00,1.142857142857138797e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.886604309082031250e-02,2.040894178683139160e-02,-2.460517280842289267e-02,1.525830887528934587e+00,-2.288746331293401770e+00,2.880140383001439375e-02,-3.147173266193625807e-02,1.144373165646700885e+00,-1.525830887528934587e+00,2.931296348571777344e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.939194139194139410e+00,1.142857142857138797e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.086613655090332031e-02,2.231631952391843754e-02,-2.765697718776216618e-02,9.536443047055841449e-01,-1.525830887528934587e+00,3.261615930418848563e-02,-3.643091477836257752e-02,1.907288609411168290e+00,-2.479475192234518843e+00,2.931296348571777344e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.974358974358974450e+00,9.084249084249051975e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.286623001098632812e-02,2.498664835584030186e-02,-3.147173266193625807e-02,1.335102026587817736e+00,-1.907288609411168290e+00,3.604943923094516833e-02,-4.139009689478889698e-02,1.716559748470051439e+00,-2.479475192234518843e+00,2.933109283447265625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.851282051282051810e+00,7.326007326007299980e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.486632347106933594e-02,2.841992828259698456e-02,-3.604943923094516833e-02,1.716559748470051439e+00,-2.288746331293401770e+00,3.986419470511926022e-02,-4.673075455863262562e-02,1.907288609411168290e+00,-2.670204053175635472e+00,2.933109283447265625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.863003663003663490e+00,7.326007326007299980e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.686641693115234375e-02,3.147173266193625807e-02,-4.024567025253666941e-02,1.525830887528934587e+00,-2.098017470352285141e+00,4.406042572671076130e-02,-5.359731441214599101e-02,2.098017470352285141e+00,-3.433119496940102877e+00,2.933109283447265625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.821978021978022610e+00,8.498168498168467977e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.886651039123535156e-02,3.528648813611034996e-02,-4.596780346379780724e-02,1.907288609411168290e+00,-2.860932914116752546e+00,4.711223010605003481e-02,-5.855649652857231047e-02,1.525830887528934587e+00,-2.479475192234518843e+00,2.933109283447265625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.681318681318680675e+00,1.084249084249080397e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.086660385131835938e-02,3.833829251544962347e-02,-4.978255893797189913e-02,1.525830887528934587e+00,-1.907288609411168290e+00,5.207141222247635426e-02,-6.466010528725085749e-02,2.479475192234518843e+00,-3.051661775057869175e+00,2.933109283447265625e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.780952380952381731e+00,1.435897435897430796e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.286669731140136719e-02,4.215304798962371535e-02,-5.512321660181562777e-02,1.907288609411168290e+00,-2.670204053175635472e+00,5.626764324406785533e-02,-7.114518959334681369e-02,2.098017470352285141e+00,-3.242390635998985804e+00,2.922358989715576172e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.857142857142857650e+00,1.611721611721605996e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.486679077148437500e-02,4.558632791638039805e-02,-6.046387426565935641e-02,1.716559748470051439e+00,-2.670204053175635472e+00,6.046387426565935641e-02,-7.801174944686017909e-02,2.098017470352285141e+00,-3.433119496940102877e+00,2.922358989715576172e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.997802197802197810e+00,1.611721611721605996e-01,0.000000000000000000e+00,0.000000000000000000e+00
